LABORATORY,FSRI 
TEST IDENT,PC_HF50_1
OPERATOR,Dow
MATERIAL,Polycarbonate
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,301.969970703125
SPECIMEN MASS,65
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2958
TIME TO IGN,128.5
END OF TEST SCAN,2478
END OF TEST TIME,619.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.81 x 99.06 x 5.50 mm; 60 mm spacing
POST TEST CMT,"Sample expanded vertically after ignition, affecting incident heat flux. Likely extended test duration by maintaining combustion at elevated areas. See post test pictures."
