LABORATORY,FSRI 
TEST IDENT,PC_HF50_2
OPERATOR,Dow
MATERIAL,Polycarbonate
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,301.1099853515625
SPECIMEN MASS,65.19999694824219
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3190
TIME TO IGN,171
END OF TEST SCAN,2710
END OF TEST TIME,677.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.03 x 98.74 x 5.47 mm; 60 mm spacing
POST TEST CMT,"Sample expanded vertically after ignition, affecting incident heat flux. Likely extended test duration by maintaining combustion at elevated areas. See post test pictures."
