LABORATORY,FSRI 
TEST IDENT,PC_HF75_1
OPERATOR,Dow
MATERIAL,Polycarbonate
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,301.219970703125
SPECIMEN MASS,64.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3344
TIME TO IGN,53.5
END OF TEST SCAN,2864
END OF TEST TIME,716
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.86 x 97.77 x 5.45 mm; 60 mm spacing
POST TEST CMT,"Sample expanded vertically after ignition, affecting incident heat flux. Likely extended test duration by maintaining combustion at elevated areas. See post test pictures."
