Temp./C,Time/min,DSC/(mW/mg),Mass loss/mg
53.9,1.706500151,0.75549,-1.62E-02
54,1.717348379,0.75675,-1.58E-02
54.1,1.728662798,0.75519,-1.54E-02
54.2,1.739256666,0.75699,-1.53E-02
54.3,1.750232777,0.75922,-1.61E-02
54.4,1.761940155,0.75791,-1.56E-02
54.5,1.774310956,0.75781,-1.54E-02
54.6,1.784769829,0.76048,-1.61E-02
54.7,1.797035936,0.76051,-1.58E-02
54.8,1.805183437,0.76449,-1.55E-02
54.9,1.814867142,0.76348,-1.54E-02
55,1.827147987,0.76722,-1.59E-02
55.1,1.842540195,0.7731,-1.57E-02
55.2,1.850705286,0.77111,-1.53E-02
55.3,1.862968806,0.77081,-1.53E-02
55.4,1.873931526,0.765,-1.59E-02
55.5,1.884477171,0.76239,-1.56E-02
55.6,1.896930259,0.76128,-1.52E-02
55.7,1.905352476,0.7645,-1.57E-02
55.8,1.915786263,0.76634,-1.60E-02
55.9,1.927270453,0.76873,-1.56E-02
56,1.938623376,0.76788,-1.53E-02
56.1,1.949300231,0.76933,-1.49E-02
56.2,1.962783376,0.77163,-1.45E-02
56.3,1.974558612,0.7732,-1.46E-02
56.4,1.98584676,0.77426,-1.52E-02
56.5,1.997596158,0.76837,-1.49E-02
56.6,2.007312987,0.77342,-1.46E-02
56.7,2.019419886,0.77245,-1.48E-02
56.8,2.029874328,0.77502,-1.53E-02
56.9,2.041938886,0.77674,-1.49E-02
57,2.052347476,0.77895,-1.46E-02
57.1,2.062556555,0.78166,-1.42E-02
57.2,2.075112414,0.78542,-1.41E-02
57.3,2.08566956,0.78517,-1.48E-02
57.4,2.096758272,0.78174,-1.46E-02
57.5,2.107879897,0.78269,-1.42E-02
57.6,2.119648146,0.78597,-1.50E-02
57.7,2.130555378,0.78946,-1.50E-02
57.8,2.14203909,0.79375,-1.46E-02
57.9,2.151677219,0.79471,-1.49E-02
58,2.162818283,0.79871,-1.53E-02
58.1,2.175025677,0.79727,-1.50E-02
58.2,2.184621526,0.79686,-1.47E-02
58.3,2.194476297,0.79691,-1.47E-02
58.4,2.206049925,0.7965,-1.54E-02
58.5,2.217800568,0.79426,-1.52E-02
58.6,2.229206067,0.79495,-1.48E-02
58.7,2.239219014,0.7919,-1.52E-02
58.8,2.24983051,0.79567,-1.56E-02
58.9,2.261168994,0.80076,-1.53E-02
59,2.271332312,0.80033,-1.50E-02
59.1,2.282418258,0.79977,-1.47E-02
59.2,2.294367041,0.80124,-1.44E-02
59.3,2.303579065,0.79995,-1.48E-02
59.4,2.317013156,0.79967,-1.52E-02
59.5,2.325067042,0.80141,-1.48E-02
59.6,2.334668146,0.80245,-1.50E-02
59.7,2.348656006,0.80823,-1.57E-02
59.8,2.35906219,0.80469,-1.55E-02
59.9,2.36983199,0.80617,-1.52E-02
60,2.379653665,0.80584,-1.49E-02
60.1,2.391191791,0.81023,-1.55E-02
60.2,2.402273395,0.8104,-1.57E-02
