Time after Ignition,Window_Screen_R1,Window_Screen_R2,Window_Screen_R3,Window_Screen_R4,Mean,Std. Dev.
0.0,60.48738790268266,17.86557769631047,31.998555592435586,20.47466293554818,32.706546031744224,19.511959842898
0.25,66.73782584640244,21.17139862207143,35.25829855255294,25.36954417021316,37.134266797809985,20.600257474936317
0.5,71.4266175342169,24.09559558717936,39.08369466121438,29.736905476242264,41.08570331471323,21.15055623615018
0.75,80.1547244657247,28.629972985991788,42.30267154890823,33.462495993148266,46.137466248443246,23.374107457584916
1.0,85.02481417924284,32.27823932920493,45.74481973638993,37.14580605550255,50.04841982508506,23.97308138088883
1.25,89.44978718592417,35.38135207189462,48.7905514124445,41.623904897338576,53.81139889190047,24.3824066713594
1.5,94.04933406698926,39.353700994242175,49.81247536318809,44.52702511314054,56.935633884390015,25.10819298126696
1.75,97.1368580815377,42.45389178772472,53.05841484498255,47.41439655143511,60.01589031642003,25.123655189120132
2.0,100.99317930089917,44.8237396896795,54.38889979506256,50.772606605354,62.7446063477488,25.80217952392957
2.25,104.96256555973329,46.887822256478046,56.78973531171137,52.52902257659587,65.29228642612965,26.755993892061703
2.5,106.32672552104573,49.36520154324978,56.825487757343375,54.645193561637505,66.7906520958191,26.54282132795547
2.75,109.6956789857508,51.1954437374154,59.33139888155885,56.971745868694974,69.29856686835501,27.147404345867525
3.0,114.64063431486066,53.21389620011353,60.3471855297524,58.28932108468639,71.62275928235324,28.834833968162048
3.25,114.43833649514497,55.71759607635585,61.65681686800587,60.28724152800426,73.02499774187774,27.725420037994695
3.5,115.09906756005867,56.75429632146516,61.890177476592896,61.70738156431498,73.86273073060792,27.59364992058004
3.75,119.6876170782268,56.81559141180393,63.477746667592804,63.20850223726064,75.79736434872105,29.421729031217144
4.0,116.95809410928655,59.16877624091581,64.45204893985418,64.75428411272506,76.3333008506954,27.2043655073352
4.25,113.84677774599845,58.49422284952867,66.06670277181625,66.49590425318699,76.2259019051326,25.348405094482963
4.5,112.98532081841108,59.34115942355023,64.7128022252321,65.89302927018217,75.7330779343439,24.99798409722902
4.75,111.71921347583964,57.960869145076465,64.96302002206343,64.66373391027099,74.82670913831262,24.806530480498438
5.0,107.61645707234142,58.6591676655851,65.00563092150533,63.709398519929536,73.74766354484035,22.744580174953054
5.25,102.07821045549127,57.85801568091472,63.476035917546724,63.72470875811471,71.78424270301686,20.376838719963814
5.5,97.85172065145584,56.279472807631045,61.77861015682942,63.70503961262593,69.90371080713555,18.89578348451152
5.75,94.82263260143195,55.7152867556455,58.88220150362598,63.028184619327305,68.11207637000769,18.057046199166834
6.0,92.27039636476987,54.10962677758544,55.66869692445201,60.69548960919956,65.68605241900171,17.94430366365982
6.25,80.86582397373074,53.99728282375193,53.93647425925456,59.043422170865874,61.960750806900776,12.828593508845326
6.5,81.47015003174732,50.72741283659167,51.54288875982168,56.436937243253546,60.04434721785355,14.504694586271981
6.75,77.2748659832024,49.45816572085889,48.88576348355344,54.93517392140951,57.638492277256056,13.371899719910726
