LABORATORY,FSRI 
TEST IDENT,Window_Screen_75_1
OPERATOR,Dow
MATERIAL,Window Screen
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.00884
C FACTOR,0.041957177221775055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,0.9200000166893005
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,503
TIME TO IGN,0.25
END OF TEST SCAN,23
END OF TEST TIME,5.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101 x 101 x 0.21 mm; with frame; with calcium silicate substrate
POST TEST CMT,"Flame extinguished before software acknowledged ""flame verify"". "
