Time after Ignition,Window_Screen_R1,Window_Screen_R2,Window_Screen_R3,Mean,Std. Dev.
0.0,47.706252448047636,24.004169204821036,49.567825636314396,40.42608242972769,14.25222049922718
0.25,52.93439221011134,29.048612389811353,54.22612073211606,45.40304177734625,14.178069723609731
0.5,55.125254169168635,34.02364106246571,59.78401386492766,49.64430303218734,13.726974202457649
0.75,59.47169601420619,38.58784499786114,63.58895167171903,53.88283089459545,13.40486455445584
1.0,61.790030298769274,41.94238685585876,67.25276872843871,56.99506196102224,13.31907086301268
1.25,65.44038446692622,46.075716757724976,71.30802291703505,60.941374713895414,13.20409539111593
1.5,68.46486422130448,49.70137626717118,73.15573796353067,63.77399281733545,12.410881376531833
1.75,71.89468815264603,53.83929743846827,77.79464963037654,67.84287840716361,12.48108954858432
2.0,72.6932942145733,57.6857864895089,78.20985621288804,69.52964563899008,10.621481240150754
2.25,75.16100501194558,58.33773771908841,82.61709833806678,72.03861368970026,12.437195571893373
2.5,77.17433424400109,60.97786749631356,79.72425000279142,72.62548391436869,10.167386279710357
2.75,78.3775929236432,64.39212565027925,79.07435497159067,73.94802451517104,8.282980844774126
3.0,82.00596269793763,65.64390098691575,78.5244093091536,75.39142433133566,8.619220499108183
3.25,82.012289293679,67.57506644715029,78.6822893452466,76.08988169535864,7.559681471297643
3.5,79.09171587762727,69.69394771392484,78.29899693105668,75.6948868408696,5.212058483558615
3.75,78.42280477662642,70.81847213694152,78.04007012342908,75.76044901233234,4.284153712387396
4.0,77.89110616872618,72.458771905897,74.78229475571693,75.04405761011337,2.7256107076641207
4.25,74.3681579193023,71.06669914038797,72.13183733366567,72.52223146445198,1.6849964985815065
4.5,73.85489260175241,68.59293692399855,69.00086220030751,70.48289724201949,2.9273478247909313
4.75,72.97327279915105,67.22440570422485,68.0137304481493,69.40380298384173,3.116343122899993
5.0,70.13739361234558,65.47337871236019,65.45186454074515,67.0208789551503,2.699002301088273
5.25,66.6881370190106,61.51157242533192,63.242105861890195,63.813938435410904,2.635232364941735
5.5,63.92639358540821,58.49273405887068,59.29752455963259,60.572217401303824,2.932540765793195
5.75,61.222704047049334,56.6118266076137,57.7755872503031,58.536705968322046,2.3978164999772664
6.0,58.84550954369285,54.01433714187614,55.466112330995706,56.10865300552157,2.4788506576302587
6.25,55.4902684747191,50.868413174900454,52.28682849814434,52.8818367159213,2.3676808669100695
