Temperature (C),HRR_mean,HRR_std
150.00,0.00,0.00
151.00,-0.15,0.17
152.00,-0.14,0.11
153.00,-0.13,0.18
154.00,-0.21,0.22
155.00,-0.34,0.33
156.00,-0.23,0.31
157.00,-0.24,0.40
158.00,-0.35,0.28
159.00,-0.18,0.26
160.00,-0.28,0.27
161.00,-0.17,0.45
162.00,-0.15,0.40
163.00,-0.16,0.18
164.00,-0.20,0.20
165.00,-0.04,0.22
166.00,-0.20,0.14
167.00,-0.05,0.11
168.00,-0.01,0.07
169.00,-0.03,0.13
170.00,-0.13,0.18
171.00,-0.16,0.26
172.00,-0.12,0.31
173.00,0.01,0.17
174.00,-0.05,0.43
175.00,-0.19,0.18
176.00,0.14,0.15
177.00,-0.01,0.39
178.00,0.06,0.26
179.00,0.20,0.25
180.00,0.03,0.28
181.00,0.12,0.40
182.00,0.05,0.28
183.00,0.20,0.30
184.00,0.09,0.31
185.00,0.18,0.24
186.00,0.27,0.35
187.00,0.27,0.38
188.00,0.21,0.29
189.00,0.20,0.58
190.00,0.34,0.51
191.00,0.34,0.56
192.00,0.49,0.38
193.00,0.32,0.53
194.00,0.50,0.46
195.00,0.41,0.70
196.00,0.50,0.50
197.00,0.57,0.43
198.00,0.63,0.52
199.00,0.75,0.41
200.00,0.89,0.39
201.00,0.87,0.25
202.00,0.93,0.28
203.00,0.97,0.50
204.00,1.02,0.43
205.00,1.11,0.73
206.00,1.20,0.68
207.00,1.42,0.62
208.00,1.36,0.63
209.00,1.74,0.59
210.00,1.72,0.67
211.00,1.98,0.65
212.00,2.00,0.70
213.00,2.15,0.71
214.00,2.17,0.72
215.00,2.20,0.72
216.00,2.23,0.71
217.00,2.27,0.76
218.00,2.19,0.76
219.00,2.34,0.85
220.00,2.54,0.64
221.00,2.64,0.59
222.00,2.93,0.48
223.00,2.96,0.59
224.00,3.07,0.60
225.00,3.21,0.63
226.00,3.31,0.60
227.00,3.46,0.59
228.00,3.53,0.69
229.00,3.74,0.76
230.00,3.70,0.82
231.00,3.95,0.73
232.00,4.14,0.59
233.00,4.27,0.62
234.00,4.38,0.67
235.00,4.65,0.64
236.00,5.08,0.57
237.00,5.00,0.81
238.00,5.11,0.66
239.00,5.36,0.74
240.00,5.77,0.67
241.00,6.04,0.74
242.00,6.19,0.84
243.00,6.28,0.92
244.00,6.53,0.78
245.00,6.75,0.74
246.00,7.04,0.78
247.00,7.22,0.90
248.00,7.33,0.98
249.00,7.62,1.04
250.00,7.93,0.98
251.00,8.28,1.01
252.00,8.43,1.16
253.00,8.70,1.28
254.00,9.09,1.32
255.00,9.46,1.17
256.00,9.77,0.93
257.00,10.29,1.02
258.00,10.54,0.93
259.00,10.98,1.12
260.00,11.32,1.10
261.00,11.73,1.13
262.00,12.06,1.20
