Temperature (C),R1,R2,R3
150.00,0.00,0.00,0.00
151.00,-0.35,-0.10,-0.02
152.00,-0.27,-0.09,-0.07
153.00,-0.30,0.06,-0.14
154.00,-0.41,0.02,-0.22
155.00,-0.69,-0.03,-0.29
156.00,-0.43,0.13,-0.39
157.00,-0.61,0.18,-0.28
158.00,-0.63,-0.07,-0.35
159.00,-0.37,0.12,-0.28
160.00,-0.56,-0.03,-0.24
161.00,-0.57,0.32,-0.26
162.00,-0.59,0.18,-0.03
163.00,-0.34,0.02,-0.16
164.00,-0.40,0.00,-0.20
165.00,-0.22,-0.10,0.20
166.00,-0.07,-0.35,-0.18
167.00,0.07,-0.09,-0.14
168.00,-0.09,0.01,0.05
169.00,-0.13,-0.08,0.12
170.00,-0.34,-0.04,-0.01
171.00,-0.25,-0.36,0.13
172.00,-0.47,0.12,0.00
173.00,-0.19,0.12,0.10
174.00,-0.54,0.10,0.28
175.00,-0.39,-0.16,-0.03
176.00,0.12,-0.01,0.30
177.00,-0.45,0.11,0.30
178.00,-0.22,0.10,0.30
179.00,-0.08,0.37,0.30
180.00,-0.23,-0.00,0.32
181.00,-0.34,0.31,0.39
182.00,-0.27,0.16,0.25
183.00,-0.06,0.14,0.53
184.00,-0.19,0.04,0.42
185.00,-0.02,0.12,0.44
186.00,-0.10,0.33,0.59
187.00,-0.15,0.39,0.58
188.00,0.02,0.08,0.55
189.00,-0.46,0.44,0.62
190.00,-0.23,0.50,0.74
191.00,-0.31,0.60,0.72
192.00,0.06,0.63,0.78
193.00,-0.21,0.31,0.85
194.00,0.03,0.52,0.94
195.00,-0.37,0.60,0.99
196.00,-0.07,0.69,0.87
197.00,0.08,0.90,0.72
198.00,0.03,0.89,0.98
199.00,0.32,1.12,0.81
200.00,0.50,1.28,0.88
201.00,0.60,0.93,1.09
202.00,0.60,1.04,1.13
203.00,0.40,1.22,1.30
204.00,0.53,1.17,1.35
205.00,0.28,1.39,1.65
206.00,0.44,1.41,1.76
207.00,0.71,1.70,1.85
208.00,0.72,1.37,1.98
209.00,1.09,1.90,2.23
210.00,1.05,1.72,2.38
211.00,1.29,2.07,2.57
212.00,1.34,1.95,2.73
213.00,1.41,2.20,2.83
214.00,1.47,2.13,2.92
215.00,1.53,2.12,2.96
216.00,1.57,2.14,2.97
217.00,1.56,2.17,3.07
218.00,1.48,2.10,3.00
219.00,1.47,2.39,3.17
220.00,1.91,2.53,3.19
221.00,2.19,2.42,3.30
222.00,2.67,2.64,3.48
223.00,2.57,2.67,3.65
224.00,2.74,2.71,3.76
225.00,2.90,2.79,3.93
226.00,2.87,3.08,4.00
227.00,3.08,3.15,4.13
228.00,3.15,3.12,4.33
229.00,3.16,3.46,4.61
230.00,3.12,3.35,4.64
231.00,3.47,3.58,4.79
232.00,3.79,3.82,4.82
233.00,3.90,3.93,4.98
234.00,3.95,4.03,5.15
235.00,4.07,4.54,5.33
236.00,4.51,5.06,5.66
237.00,4.45,4.63,5.93
238.00,4.53,4.96,5.83
239.00,4.71,5.20,6.16
240.00,5.13,5.70,6.47
241.00,5.30,6.05,6.77
242.00,5.46,5.99,7.11
243.00,5.37,6.26,7.22
244.00,5.69,6.66,7.24
245.00,6.13,6.54,7.57
246.00,6.34,6.89,7.89
247.00,6.32,7.22,8.12
248.00,6.36,7.30,8.32
249.00,6.55,7.68,8.63
250.00,6.96,7.92,8.92
251.00,7.25,8.32,9.28
252.00,7.19,8.59,9.50
253.00,7.36,8.82,9.92
254.00,7.77,9.08,10.41
255.00,8.23,9.60,10.56
256.00,8.93,9.62,10.77
257.00,9.27,10.31,11.30
258.00,9.64,10.46,11.51
259.00,9.86,10.97,12.11
260.00,10.22,11.32,12.43
261.00,10.72,11.51,12.96
262.00,11.03,11.77,13.38
263.00,11.74,12.49,13.86
264.00,12.28,12.93,14.20
265.00,12.65,13.62,14.73
266.00,12.71,13.86,15.34
267.00,13.27,14.40,15.72
268.00,14.22,14.78,16.18
269.00,14.53,15.34,16.61
270.00,14.96,15.77,16.98
271.00,15.44,16.23,17.67
272.00,16.02,16.70,18.04
273.00,16.34,17.12,18.73
274.00,16.82,17.86,19.25
275.00,17.33,18.42,19.69
276.00,17.96,18.69,20.39
277.00,18.38,19.22,20.95
278.00,18.74,19.77,21.32
279.00,18.88,20.23,21.73
280.00,19.81,21.05,22.29
281.00,20.13,21.36,22.64
282.00,20.49,21.82,23.23
283.00,21.12,22.07,23.65
284.00,21.83,22.77,24.03
285.00,21.91,23.20,24.43
286.00,22.24,23.66,24.87
287.00,22.77,24.06,25.41
288.00,23.19,24.54,25.67
289.00,23.72,25.10,26.17
290.00,24.00,25.41,26.56
291.00,24.33,25.89,26.93
292.00,24.99,26.37,27.72
293.00,25.35,26.77,28.11
294.00,25.96,27.25,28.46
295.00,26.39,27.64,29.06
296.00,27.26,28.00,29.73
297.00,27.42,28.38,30.09
298.00,27.56,28.91,30.57
299.00,27.98,29.36,31.36
300.00,28.48,29.70,31.70
301.00,28.68,30.20,31.88
302.00,29.74,30.87,32.46
303.00,30.05,31.42,33.02
304.00,30.79,31.98,33.52
305.00,31.38,32.51,34.15
306.00,31.60,33.04,34.75
307.00,32.16,33.36,35.19
308.00,32.93,33.75,35.62
309.00,33.48,34.79,36.08
310.00,34.08,35.35,36.67
311.00,34.94,35.87,37.39
312.00,35.04,36.28,38.04
313.00,35.88,36.77,38.58
314.00,36.47,37.28,39.22
315.00,37.08,38.14,39.68
316.00,37.82,38.49,40.33
317.00,38.15,39.17,41.01
318.00,38.85,39.57,41.58
319.00,39.29,40.09,42.36
320.00,40.09,40.90,42.88
321.00,40.54,41.90,43.68
322.00,41.46,42.51,44.43
323.00,41.86,43.34,45.12
324.00,42.49,44.40,45.90
325.00,43.34,44.89,46.74
326.00,43.87,45.97,47.42
327.00,44.80,46.63,48.33
328.00,45.49,47.33,49.27
329.00,46.07,48.16,50.19
330.00,46.78,48.89,50.90
331.00,47.51,49.72,51.98
332.00,48.50,50.66,52.85
333.00,49.12,51.72,53.83
334.00,50.47,52.71,54.39
335.00,51.20,53.84,55.68
336.00,52.05,54.80,56.99
337.00,53.29,56.01,57.95
338.00,54.08,56.83,59.36
339.00,55.16,57.92,60.32
340.00,56.13,59.22,61.43
341.00,57.36,60.36,62.71
342.00,58.46,61.51,64.07
343.00,59.33,63.12,65.43
344.00,60.74,64.34,66.71
345.00,62.17,65.46,68.00
346.00,63.65,66.77,69.30
347.00,65.13,68.32,70.61
348.00,65.94,69.86,72.15
349.00,66.88,71.30,73.58
350.00,68.63,72.52,75.07
351.00,69.68,74.19,76.47
352.00,71.54,75.51,77.77
353.00,73.03,76.72,79.25
354.00,74.36,78.10,80.54
355.00,75.88,79.18,81.78
356.00,77.38,80.82,83.04
357.00,78.62,81.97,83.60
358.00,79.99,83.12,84.59
359.00,81.27,84.02,85.58
360.00,82.47,84.47,86.35
361.00,83.48,85.57,86.80
362.00,84.47,85.92,86.95
363.00,85.32,86.47,86.92
364.00,85.84,86.70,86.93
365.00,86.19,86.49,86.35
366.00,86.69,86.25,85.53
367.00,86.02,85.60,84.51
368.00,86.21,84.43,83.23
