Temp/C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/(mW/mg),Sensit./(uV/mW)
26.077,10.00417,-0.00473,0.01006482,1.00326
26.177,10.42232,-0.00558197,0.0157235,1.00331
26.277,10.53727,-0.005232973,0.02281776,1.00337
26.377,10.61502,-0.006869151,0.02562764,1.00342
26.477,10.67439,-0.006568323,0.03287449,1.00347
26.577,10.72485,-0.006595662,0.04108799,1.00353
26.677,10.76794,-0.005661298,0.04280508,1.00358
26.777,10.80604,-0.005884927,0.05142098,1.00364
26.877,10.84124,-0.004555627,0.05179615,1.00369
26.977,10.87398,-0.005897718,0.05456681,1.00375
27.077,10.90412,-0.005711948,0.06072944,1.0038
27.177,10.93314,-0.005624653,0.06593196,1.00385
27.277,10.96062,-0.005840076,0.06920606,1.00391
27.377,10.98695,-0.005703929,0.07196992,1.00396
27.477,11.01209,-0.005668281,0.07684322,1.00402
27.577,11.03627,-0.005174228,0.08110401,1.00407
27.677,11.05978,-0.005071847,0.08366238,1.00412
27.777,11.08236,-0.005528583,0.08668147,1.00418
27.877,11.10449,-0.005815137,0.08832468,1.00423
27.977,11.12581,-0.006164141,0.09235646,1.00428
28.077,11.14648,-0.007016589,0.09451138,1.00434
28.177,11.16684,-0.006659383,0.09752512,1.00439
28.277,11.18649,-0.006276457,0.10027,1.00444
28.377,11.20587,-0.006188529,0.1035,1.0045
28.477,11.22476,-0.006917029,0.10508,1.00455
28.577,11.24328,-0.006482089,0.10738,1.0046
28.677,11.26142,-0.006398058,0.11002,1.00466
28.777,11.2791,-0.006482169,0.11111,1.00471
28.877,11.2963,-0.007399103,0.11335,1.00476
28.977,11.31345,-0.007374872,0.11658,1.00482
29.077,11.33063,-0.00688636,0.11881,1.00487
29.177,11.3474,-0.007816607,0.11981,1.00492
29.277,11.36401,-0.00657512,0.12129,1.00498
29.377,11.38043,-0.006380814,0.12543,1.00503
29.477,11.39649,-0.006716669,0.12716,1.00508
29.577,11.41241,-0.006095455,0.12983,1.00514
29.677,11.42821,-0.006719565,0.13214,1.00519
29.777,11.44382,-0.006373305,0.13389,1.00524
29.877,11.45931,-0.006029327,0.13637,1.00529
29.977,11.47449,-0.007045577,0.1371,1.00535
30.077,11.49002,-0.006406174,0.13879,1.0054
30.177,11.50516,-0.007405794,0.14144,1.00545
30.277,11.52014,-0.006387238,0.1429,1.0055
30.377,11.53482,-0.005482362,0.14559,1.00556
30.477,11.5494,-0.006051975,0.14617,1.00561
30.577,11.56388,-0.005477215,0.14615,1.00566
30.677,11.57824,-0.005952656,0.14696,1.00571
30.777,11.59251,-0.006669021,0.15061,1.00577
30.877,11.60669,-0.006082566,0.1529,1.00582
30.977,11.62084,-0.007147783,0.15254,1.00587
31.077,11.63473,-0.006524809,0.15502,1.00592
31.177,11.64856,-0.00729742,0.15768,1.00597
31.277,11.66234,-0.007000538,0.15805,1.00603
31.377,11.67603,-0.007801656,0.15799,1.00608
31.477,11.68977,-0.007679413,0.15823,1.00613
31.577,11.70336,-0.007888463,0.1605,1.00618
31.677,11.71677,-0.007841763,0.16229,1.00623
31.777,11.73014,-0.007004291,0.16381,1.00628
31.877,11.74344,-0.007832535,0.16569,1.00634
31.977,11.75675,-0.00641808,0.16727,1.00639
32.077,11.76995,-0.006995207,0.1692,1.00644
32.177,11.78303,-0.006083425,0.16976,1.00649
32.277,11.79619,-0.00600011,0.17025,1.00654
32.377,11.80918,-0.006040059,0.1711,1.00659
32.477,11.82204,-0.005882103,0.17206,1.00664
32.577,11.835,-0.005890046,0.1737,1.0067
32.677,11.84779,-0.004615409,0.17451,1.00675
32.777,11.8604,-0.005712469,0.17766,1.0068
32.877,11.87324,-0.005816145,0.17788,1.00685
32.977,11.88601,-0.005550094,0.17606,1.0069
33.077,11.89862,-0.006263309,0.1766,1.00695
33.177,11.91134,-0.005807231,0.17848,1.007
33.277,11.92391,-0.005783616,0.17971,1.00705
33.377,11.93647,-0.006162268,0.18132,1.0071
33.477,11.949,-0.005175462,0.18249,1.00716
33.577,11.96147,-0.005812644,0.18391,1.00721
33.677,11.97373,-0.006269507,0.18449,1.00726
33.777,11.98598,-0.00541166,0.18564,1.00731
33.877,11.99813,-0.006440399,0.18573,1.00736
33.977,12.01026,-0.006486102,0.18621,1.00741
34.077,12.02253,-0.006725968,0.18745,1.00746
34.177,12.03486,-0.007083008,0.18729,1.00751
34.277,12.04709,-0.00649117,0.18807,1.00756
34.377,12.05953,-0.006851102,0.18989,1.00761
34.477,12.07179,-0.007578187,0.19065,1.00766
34.577,12.08385,-0.006692838,0.1914,1.00771
34.677,12.09595,-0.006754924,0.19377,1.00776
34.777,12.10794,-0.007479995,0.19362,1.00781
34.877,12.12002,-0.00656069,0.19506,1.00786
34.977,12.13202,-0.006652778,0.19561,1.00791
35.077,12.144,-0.00561532,0.19553,1.00796
35.177,12.15594,-0.005987243,0.19571,1.00801
35.277,12.16785,-0.006514578,0.19654,1.00806
35.377,12.17995,-0.00540212,0.19692,1.00811
35.477,12.19201,-0.005877038,0.19899,1.00816
35.577,12.20398,-0.006481239,0.19958,1.00821
35.677,12.21598,-0.006477616,0.1998,1.00826
35.777,12.22782,-0.006443133,0.19938,1.00831
35.877,12.23963,-0.006839858,0.20027,1.00836
35.977,12.2514,-0.00640016,0.20054,1.00841
36.077,12.26309,-0.006478002,0.20293,1.00846
36.177,12.27477,-0.006473384,0.20262,1.00851
36.277,12.28646,-0.006948228,0.20406,1.00856
36.377,12.29812,-0.006976344,0.20417,1.00861
36.477,12.30978,-0.006374242,0.20378,1.00866
36.577,12.32146,-0.006381331,0.20392,1.00871
36.677,12.33305,-0.006669002,0.20414,1.00876
36.777,12.3447,-0.006376268,0.20454,1.00881
36.877,12.35622,-0.006368596,0.20528,1.00885
36.977,12.36776,-0.006332699,0.20528,1.0089
37.077,12.37923,-0.006693377,0.20424,1.00895
37.177,12.39077,-0.006169016,0.2057,1.009
37.277,12.40232,-0.006258579,0.20613,1.00905
37.377,12.41384,-0.006276687,0.20787,1.0091
37.477,12.42535,-0.006215847,0.2093,1.00915
37.577,12.43685,-0.00630323,0.21078,1.0092
37.677,12.44837,-0.006261317,0.21186,1.00925
37.777,12.45987,-0.006255025,0.21141,1.00929
37.877,12.47133,-0.006872252,0.21166,1.00934
37.977,12.48275,-0.007586187,0.21108,1.00939
38.077,12.49416,-0.007250969,0.21173,1.00944
38.177,12.50558,-0.006223453,0.21305,1.00949
38.277,12.51693,-0.006723701,0.21303,1.00954
38.377,12.52823,-0.007718161,0.21263,1.00959
38.477,12.5396,-0.007678286,0.21322,1.00963
38.577,12.55092,-0.006537515,0.21433,1.00968
38.677,12.56228,-0.00656365,0.21456,1.00973
38.777,12.57369,-0.007639375,0.21543,1.00978
38.877,12.58513,-0.007683659,0.21566,1.00983
38.977,12.59645,-0.007681551,0.21626,1.00987
39.077,12.60767,-0.007699028,0.21759,1.00992
39.177,12.61899,-0.006720215,0.21717,1.00997
39.277,12.63027,-0.00638201,0.21853,1.01002
39.377,12.64151,-0.006653446,0.21823,1.01007
39.477,12.65272,-0.007615213,0.21907,1.01011
39.577,12.66397,-0.007689515,0.21936,1.01016
39.677,12.67519,-0.007684941,0.21951,1.01021
39.777,12.68641,-0.007503609,0.21983,1.01026
39.877,12.69766,-0.007442817,0.22041,1.01031
39.977,12.70883,-0.007695612,0.22151,1.01035
40.077,12.72003,-0.007689319,0.22027,1.0104
40.177,12.73128,-0.007689932,0.22049,1.01045
40.277,12.74246,-0.007689971,0.22129,1.0105
40.377,12.75364,-0.007689818,0.22168,1.01054
40.477,12.76483,-0.007694598,0.222,1.01059
40.577,12.77592,-0.007134155,0.22194,1.01064
