Temp/C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/(mW/mg),Sensit./(uV/mW)
25.996,10.005,-0.00439,0.007527587,1.00321
26.096,10.43744,-0.004172576,0.01307429,1.00327
26.196,10.5493,-0.005234099,0.01847486,1.00332
26.296,10.62164,-0.003796819,0.02424727,1.00338
26.396,10.67918,-0.0032316,0.03013392,1.00343
26.496,10.72507,-0.002851795,0.03455442,1.00348
26.596,10.76642,-0.003998742,0.03892836,1.00354
26.696,10.80527,-0.003431453,0.0437655,1.00359
26.796,10.84074,-0.003751879,0.04883378,1.00365
26.896,10.87329,-0.004226726,0.05276871,1.0037
26.996,10.90455,-0.006012043,0.05535961,1.00376
27.096,10.93455,-0.005218361,0.05937985,1.00381
27.196,10.9631,-0.003833327,0.06391469,1.00386
27.296,10.98923,-0.003897637,0.06661225,1.00392
27.396,11.01441,-0.004342502,0.07148239,1.00397
27.496,11.03829,-0.00408028,0.07410862,1.00403
27.596,11.06183,-0.003292447,0.07655768,1.00408
27.696,11.0843,-0.002893799,0.07953589,1.00413
27.796,11.10612,-0.003661303,0.08370442,1.00419
27.896,11.12701,-0.005105322,0.08556297,1.00424
27.996,11.14793,-0.004961594,0.08716328,1.00429
28.096,11.16806,-0.004373369,0.09065475,1.00435
28.196,11.18767,-0.004115442,0.0941893,1.0044
28.296,11.20689,-0.005046889,0.09594379,1.00446
28.396,11.22569,-0.005157424,0.09734579,1.00451
28.496,11.24442,-0.004944125,0.10134,1.00456
28.596,11.26265,-0.003637694,0.10238,1.00462
28.696,11.28051,-0.003801761,0.10322,1.00467
28.796,11.29808,-0.004835385,0.1081,1.00472
28.896,11.31556,-0.005569953,0.1101,1.00477
28.996,11.33305,-0.006108897,0.11141,1.00483
29.096,11.34992,-0.004948629,0.11444,1.00488
29.196,11.36654,-0.004676724,0.11806,1.00493
29.296,11.38315,-0.004009981,0.12022,1.00499
29.396,11.39933,-0.004465291,0.12133,1.00504
29.496,11.4154,-0.003239022,0.12301,1.00509
29.596,11.43135,-0.004448881,0.12608,1.00515
29.696,11.44697,-0.004115273,0.12666,1.0052
29.796,11.46244,-0.004603785,0.12701,1.00525
29.896,11.47744,-0.004374614,0.13055,1.0053
29.996,11.49228,-0.003909946,0.13088,1.00536
30.096,11.50734,-0.004395374,0.1311,1.00541
30.196,11.5221,-0.003391071,0.13401,1.00546
30.296,11.53667,-0.004054494,0.1372,1.00551
30.396,11.55116,-0.004121909,0.1384,1.00557
30.496,11.56561,-0.00352442,0.14061,1.00562
30.596,11.57972,-0.003379067,0.1415,1.00567
30.696,11.59397,-0.004084874,0.14381,1.00572
30.796,11.6081,-0.003852229,0.14348,1.00578
30.896,11.62208,-0.003780904,0.14639,1.00583
30.996,11.63606,-0.004060744,0.14596,1.00588
31.096,11.6499,-0.004387357,0.14764,1.00593
31.196,11.6637,-0.00461206,0.14849,1.00598
31.296,11.67759,-0.004815068,0.14968,1.00604
31.396,11.69157,-0.004363306,0.15133,1.00609
31.496,11.70527,-0.004710722,0.15205,1.00614
31.596,11.71865,-0.004272666,0.15311,1.00619
31.696,11.732,-0.005551073,0.1553,1.00624
31.796,11.74537,-0.004270081,0.15569,1.00629
31.896,11.75872,-0.004247,0.15752,1.00635
31.996,11.7717,-0.00463289,0.15805,1.0064
