Time after Ignition,XPS_Foam_Board_R1,XPS_Foam_Board_R2,XPS_Foam_Board_R3,Mean,Std. Dev.
0.0,54.4,29.5,50.8,44.9,13.4
0.25,63.1,34.7,58.5,52.1,15.2
0.5,70.3,47.9,73.0,63.8,13.8
0.75,82.6,61.4,86.1,76.7,13.4
1.0,94.8,71.4,96.7,87.7,14.1
1.25,106.2,81.3,105.8,97.8,14.3
1.5,113.3,89.4,121.3,108.0,16.6
1.75,124.6,105.3,134.3,121.4,14.7
2.0,130.7,118.2,142.3,130.4,12.0
2.25,141.8,133.8,153.9,143.2,10.1
2.5,153.5,137.0,165.2,151.9,14.2
2.75,163.9,149.0,174.9,162.6,13.0
3.0,169.3,162.9,181.7,171.3,9.6
3.25,184.5,177.6,193.5,185.2,8.0
3.5,192.8,185.3,202.2,193.4,8.5
3.75,201.1,195.6,210.3,202.3,7.4
4.0,212.3,201.9,214.6,209.6,6.8
4.25,226.5,215.7,221.3,221.2,5.4
4.5,241.3,224.8,228.6,231.6,8.7
4.75,243.2,236.6,237.2,239.0,3.7
5.0,249.9,239.7,237.2,242.3,6.7
5.25,267.6,247.0,244.7,253.1,12.6
5.5,278.2,256.7,245.7,260.2,16.5
5.75,293.8,263.1,256.0,271.0,20.1
6.0,305.7,265.4,257.4,276.2,25.9
6.25,318.3,282.7,255.5,285.5,31.5
6.5,344.8,285.6,261.1,297.2,43.0
6.75,356.8,306.1,267.0,310.0,45.0
7.0,366.7,307.4,278.4,317.5,45.0
7.25,382.1,317.4,273.5,324.3,54.6
7.5,401.5,332.3,282.3,338.7,59.8
7.75,434.2,337.3,294.8,355.5,71.5
8.0,447.6,342.0,315.6,368.4,69.9
8.25,480.7,360.2,314.3,385.1,85.9
8.5,470.6,375.9,329.0,391.8,72.1
8.75,487.3,396.4,349.8,411.2,69.9
9.0,544.0,421.1,373.0,446.1,88.2
9.25,553.6,411.8,387.2,450.9,89.8
9.5,556.4,421.0,402.3,459.9,84.1
9.75,567.6,431.7,425.2,474.8,80.4
10.0,588.9,458.8,433.7,493.8,83.3
10.25,593.6,488.6,453.5,511.9,72.9
10.5,625.8,483.7,466.9,525.5,87.3
10.75,642.8,507.0,507.6,552.5,78.2
11.0,663.2,523.1,521.8,569.4,81.2
11.25,666.9,562.6,557.6,595.7,61.7
11.5,689.5,582.7,559.0,610.4,69.5
11.75,718.3,583.1,608.4,636.6,71.9
12.0,730.5,611.0,628.7,656.7,64.5
12.25,767.1,654.1,648.1,689.8,67.0
12.5,761.1,692.7,684.6,712.8,42.0
12.75,802.9,682.3,692.8,726.0,66.8
13.0,845.2,769.9,728.7,781.3,59.1
13.25,860.2,759.4,798.1,805.9,50.8
13.5,872.1,877.8,808.7,852.9,38.4
13.75,943.0,802.7,873.6,873.1,70.2
14.0,975.0,858.2,885.4,906.2,61.1
14.25,963.5,933.3,907.1,934.6,28.2
14.5,1003.4,963.3,979.1,981.9,20.2
14.75,1021.8,1027.1,1025.3,1024.7,2.7
15.0,1061.2,1026.8,1136.1,1074.7,55.9
