##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/mW,Sensit./(uV/mW)
50.084,10.00917,-0.03985,0.08013801,1.0567600000000001
50.184,10.50298,-0.04149004,0.0802072,1.05675
50.284,10.69168,-0.04289311,0.10369,1.05674
50.384,10.81586,-0.0416487,0.12482,1.05673
50.484,10.91565,-0.04212829,0.13856,1.05672
50.584,11.00201,-0.04283377,0.15113,1.05671
50.684,11.07979,-0.04310779,0.15688,1.0567
50.784,11.15029,-0.04143625,0.17254,1.0566799999999998
50.884,11.215019999999999,-0.04241832,0.17967,1.05667
50.984,11.27693,-0.04328489,0.19532,1.05666
51.084,11.335460000000001,-0.04293858,0.19851,1.05665
51.184,11.391760000000001,-0.04302049,0.20740999999999998,1.05664
51.284,11.44598,-0.04370132,0.20748000000000003,1.05663
51.384,11.499139999999999,-0.04402002,0.21445,1.0566200000000001
51.484,11.54992,-0.04402002,0.21685,1.05661
51.584,11.599039999999999,-0.04433946,0.22591,1.0566
51.684,11.64715,-0.04447419,0.2304,1.0565799999999999
51.784,11.69402,-0.04393817,0.23829,1.05657
51.884,11.73996,-0.04401635,0.24086,1.05656
51.984,11.78535,-0.0452351,0.24936,1.05655
52.084,11.829839999999999,-0.04406338,0.25206,1.05654
52.184,11.87416,-0.04531312,0.25567,1.05653
52.284,11.91746,-0.04527007,0.26025,1.0565200000000001
52.384,11.96027,-0.04534016,0.26883,1.05651
52.484,12.002369999999999,-0.04534597,0.27139,1.05649
52.584,12.04429,-0.0454495,0.27353,1.0564799999999999
52.684,12.08595,-0.04524743,0.27329000000000003,1.05647
52.784,12.12697,-0.04664921,0.27736,1.05646
52.884,12.167539999999999,-0.04665006,0.2817,1.05645
52.984,12.207989999999999,-0.04666006,0.27936,1.05644
53.084,12.2483,-0.04626014,0.28686,1.05643
53.184,12.28833,-0.04698658,0.28868,1.05641
53.284,12.32816,-0.04666175,0.29641,1.0564
53.384,12.3679,-0.04665985,0.29681,1.05639
53.484,12.40749,-0.0466221,0.29578000000000004,1.0563799999999999
53.584,12.44673,-0.04805983,0.29985,1.05637
53.684,12.48572,-0.04666115,0.29835,1.05636
53.784,12.52475,-0.04666001,0.30173,1.05634
53.884,12.56366,-0.04666009,0.30585,1.05633
53.984,12.60235,-0.04668364,0.30375,1.0563200000000001
54.084,12.640939999999999,-0.04790489,0.30178,1.05631
54.184,12.67935,-0.04664951,0.30846999999999997,1.0563
54.284,12.71761,-0.04718063,0.3091,1.05629
54.384,12.75596,-0.04797242,0.30105,1.0562799999999999
54.484,12.79406,-0.04797002,0.31579,1.05626
54.584,12.83228,-0.04797003,0.31393000000000004,1.05625
54.684,12.87045,-0.04797188,0.31219,1.05624
54.784,12.90846,-0.04661199,0.30761,1.05623
54.884,12.94638,-0.04797862,0.32584,1.0562200000000002
54.984,12.9842,-0.04798049,0.31633,1.05621
55.084,13.02215,-0.04735346,0.31672,1.05619
55.184,13.05979,-0.04669987,0.3179,1.05618
55.284,13.09726,-0.04796938,0.31921,1.05617
55.384,13.13458,-0.04797006,0.31629,1.05616
55.484,13.172,-0.04797785,0.32049,1.05615
55.584,13.20916,-0.04928967,0.32291,1.05613
55.684,13.2464,-0.04929293,0.32641,1.0561200000000002
55.784,13.28362,-0.04827319,0.32561,1.05611
55.884,13.32085,-0.04845886,0.33015,1.0561
55.984,13.3578,-0.0492917,0.33311,1.05609
56.084,13.39485,-0.04929003,0.32995,1.05607
56.184,13.431729999999998,-0.04929,0.3305,1.05606
56.284,13.468470000000002,-0.04929005,0.32998,1.05605
56.384,13.505560000000001,-0.04940306,0.33444,1.0560399999999999
56.484,13.54214,-0.05061681,0.33431,1.05603
56.584,13.57881,-0.05060985,0.33587,1.0560200000000002
56.684,13.61553,-0.05038543,0.33751,1.056
56.784,13.65191,-0.04951807,0.33676999999999996,1.05599
56.884,13.68786,-0.04922543,0.33676999999999996,1.05598
56.984,13.724229999999999,-0.05027704,0.33491,1.05597
57.084,13.760720000000001,-0.05027004,0.33728,1.05595
57.184,13.7973,-0.05026808,0.33981999999999996,1.0559399999999999
57.284,13.833860000000001,-0.05062996,0.33549,1.05593
57.384,13.8702,-0.04958927,0.33476,1.05592
57.484,13.906320000000001,-0.04962487,0.33994,1.0559100000000001
57.584,13.942210000000001,-0.04950572,0.3388,1.05589
57.684,13.978279999999998,-0.05061028,0.34183,1.05588
57.784,14.01454,-0.05090129,0.35429,1.05587
57.884,14.05061,-0.0519324,0.34396,1.05586
57.984,14.086620000000002,-0.05192678,0.34744,1.05585
58.084,14.1224,-0.05288737,0.34483,1.0558299999999998
58.184,14.1583,-0.05192243,0.34942,1.05582
58.284,14.194,-0.05192976,0.35007,1.0558100000000001
58.384,14.229679999999998,-0.05193,0.34806,1.0558
58.484,14.26529,-0.05193,0.34734,1.05578
58.584,14.30086,-0.05193,0.35752,1.05577
58.684,14.33646,-0.05192993,0.35386999999999996,1.05576
58.784,14.37248,-0.05192064,0.34939000000000003,1.05575
58.884,14.40804,-0.05065097,0.35620999999999997,1.05574
58.984,14.443420000000001,-0.05061104,0.35395,1.05572
59.084,14.47869,-0.05060902,0.36141999999999996,1.05571
59.184,14.513910000000001,-0.05164296,0.35273000000000004,1.0557
59.284,14.54914,-0.05191995,0.35846,1.05569
59.384,14.58464,-0.05300904,0.36021,1.05567
59.484,14.62005,-0.05323956,0.35425999999999996,1.05566
59.584,14.655320000000001,-0.05324038,0.35895,1.05565
59.684,14.69036,-0.05325558,0.36293000000000003,1.05564
59.784,14.72533,-0.05259433,0.36395,1.05562
59.884,14.7603,-0.05258044,0.36288000000000004,1.05561
59.984,14.79543,-0.05240287,0.36464,1.0556
60.084,14.83036,-0.0519705,0.36985,1.05559
60.184,14.8652,-0.05291979,0.37037,1.0555700000000001
60.284,14.900089999999999,-0.05423224,0.36637,1.05556
60.384,14.935020000000002,-0.05390714,0.36428,1.05555
60.484,14.96976,-0.05390999,0.36858,1.05554
60.584,15.004570000000001,-0.05390992,0.37239,1.05552
60.684,15.039270000000002,-0.05390974,0.3657,1.05551
60.784,15.07327,-0.05305106,0.36663,1.0555
60.884,15.10772,-0.05288549,0.37501999999999996,1.05548
60.984,15.14223,-0.0542168,0.37485,1.0554700000000001
61.084,15.176960000000001,-0.05423011,0.37127,1.05546
61.184,15.2116,-0.05423,0.37421,1.05545
61.284,15.24598,-0.05423,0.37139,1.0554299999999999
61.384,15.280370000000001,-0.05423,0.37535,1.05542
61.484,15.31475,-0.05423001,0.37772,1.05541
61.584,15.3491,-0.05422999,0.38026,1.0554
61.684,15.383429999999999,-0.0541854,0.38189,1.05538
61.784,15.417710000000001,-0.05556422,0.38136,1.0553700000000001
61.884,15.45214,-0.05557497,0.38594,1.05536
61.984,15.4865,-0.05685614,0.38825,1.05534
62.084,15.520929999999998,-0.0568699,0.38042,1.0553299999999999
62.184,15.555279999999998,-0.05687001,0.37903000000000003,1.05532
62.284,15.5896,-0.05687019,0.3782,1.05531
62.384,15.62381,-0.05671877,0.38,1.05529
62.484,15.6582,-0.05654287,0.37489,1.05528
62.584,15.69241,-0.05524508,0.38308000000000003,1.0552700000000002
62.684,15.72666,-0.05524631,0.38475,1.05525
62.784,15.761510000000001,-0.05618438,0.38418,1.05524
62.884,15.79597,-0.05621169,0.37924,1.05523
62.984,15.83019,-0.05626028,0.37821,1.05521
63.084,15.86435,-0.05687228,0.3782,1.0552
63.184,15.89851,-0.05718468,0.37751999999999997,1.05519
63.284,15.93276,-0.05719934,0.38216999999999995,1.05518
63.384,15.966820000000002,-0.05719843,0.38597,1.05516
63.484,16.00095,-0.05580544,0.37569,1.05515
63.584,16.035239999999998,-0.05646551,0.37233,1.05514
63.684,16.06924,-0.05719002,0.38109,1.05512
63.784,16.10339,-0.05718999,0.37876,1.05511
63.884,16.13738,-0.0571902,0.38254,1.0551
63.984,16.17137,-0.05721249,0.38136,1.05508
64.084,16.20535,-0.05582996,0.38800999999999997,1.0550700000000002
64.184,16.239420000000003,-0.05586779,0.38248000000000004,1.05506
64.284,16.273429999999998,-0.0572455,0.38482,1.05504
64.384,16.307470000000002,-0.05810124,0.38338,1.05503
64.484,16.34123,-0.05817904,0.38683,1.05502
64.584,16.3754,-0.0581819,0.38723,1.055
64.684,16.409489999999998,-0.05951753,0.38614,1.0549899999999999
64.784,16.4436,-0.05949446,0.38663000000000003,1.05498
64.884,16.477729999999998,-0.05857451,0.3921,1.0549600000000001
64.984,16.511879999999998,-0.05851112,0.3848,1.05495
65.084,16.54596,-0.05850999,0.38316999999999996,1.05494
65.184,16.57992,-0.05851014,0.38455,1.05492
65.284,16.61391,-0.05846256,0.38093,1.05491
65.384,16.648020000000002,-0.05984091,0.38326,1.0549
65.484,16.68211,-0.05983023,0.38658000000000003,1.0548799999999998
65.584,16.71588,-0.05983244,0.38119000000000003,1.05487
65.684,16.75009,-0.05949419,0.37954,1.0548600000000001
65.784,16.78419,-0.05951721,0.38126,1.05484
65.884,16.81823,-0.05860451,0.37685,1.05483
65.984,16.85235,-0.05819067,0.38,1.05482
66.084,16.88616,-0.05809789,0.38036,1.0548
66.184,16.92009,-0.059499,0.37986,1.05479
66.284,16.953979999999998,-0.05951778,0.37808,1.0547799999999998
66.384,16.98775,-0.06016153,0.38743,1.0547600000000001
66.484,17.022,-0.06081335,0.38385,1.05475
66.584,17.05572,-0.06084602,0.37739,1.05474
66.684,17.089560000000002,-0.06214151,0.37974,1.05472
66.784,17.12333,-0.06214293,0.38197,1.05471
66.884,17.15695,-0.06166339,0.39335,1.05469
66.984,17.19061,-0.06081757,0.38875,1.0546799999999998
67.084,17.22417,-0.06082006,0.38397,1.05467
67.184,17.257839999999998,-0.06082,0.38113,1.05465
67.284,17.29156,-0.06082,0.38804,1.05464
67.384,17.32538,-0.06082,0.38243,1.05463
67.484,17.359170000000002,-0.06082,0.38704,1.05461
67.584,17.39292,-0.06081963,0.38198000000000004,1.0546
67.684,17.42653,-0.06084406,0.38014000000000003,1.05459
67.784,17.46012,-0.06214341,0.38047,1.05457
67.884,17.493879999999997,-0.06214003,0.37992,1.05456
67.984,17.52747,-0.06213294,0.38429,1.05454
68.084,17.561329999999998,-0.06181231,0.37944,1.05453
68.184,17.59509,-0.06264016,0.38140999999999997,1.0545200000000001
68.284,17.62874,-0.06213715,0.38124,1.0545
68.384,17.66246,-0.0621398,0.38033,1.05449
68.484,17.69616,-0.06214,0.38068,1.05447
68.584,17.72983,-0.06214,0.37782,1.05446
68.684,17.76349,-0.06214008,0.38116,1.05445
68.784,17.797179999999997,-0.06213584,0.38815,1.05443
68.884,17.83106,-0.06284365,0.38473,1.0544200000000001
68.984,17.86477,-0.06297691,0.38529,1.0544
69.084,17.89847,-0.06312376,0.38422,1.05439
69.184,17.93207,-0.06344085,0.38515,1.0543799999999999
69.284,17.96585,-0.06345212,0.38495,1.05436
69.384,17.99951,-0.06347264,0.38432,1.05435
69.484,18.033179999999998,-0.06444757,0.37394,1.05433
69.584,18.06684,-0.06444827,0.37618,1.0543200000000001
69.684,18.10049,-0.06476586,0.38294,1.05431
69.784,18.13415,-0.06431108,0.38345,1.05429
69.884,18.16786,-0.06345012,0.38489,1.0542799999999999
69.984,18.20149,-0.06340062,0.38552,1.05426
70.084,18.23507,-0.06441661,0.38053000000000003,1.05425
70.184,18.268710000000002,-0.06444004,0.37913,1.05424
70.284,18.30239,-0.06444,0.38133,1.0542200000000002
70.384,18.33604,-0.06443998,0.38182,1.05421
70.484,18.369629999999997,-0.06443979,0.37558,1.05419
70.584,18.403170000000003,-0.06456663,0.3814,1.05418
70.684,18.43675,-0.06477033,0.38088,1.05416
70.784,18.47055,-0.06471799,0.37889,1.05415
70.884,18.50432,-0.06347232,0.37546,1.0541399999999999
70.984,18.537879999999998,-0.0634727,0.37201999999999996,1.0541200000000002
71.084,18.57159,-0.06556729,0.3805,1.05411
71.184,18.60533,-0.06576081,0.37794,1.05409
71.284,18.63925,-0.06576,0.37931,1.05408
71.384,18.67282,-0.06576003,0.3825,1.05406
71.484,18.70642,-0.06575801,0.37742,1.05405
71.584,18.740070000000003,-0.06440714,0.37859,1.0540399999999999
71.684,18.7738,-0.06450908,0.37359000000000003,1.0540200000000002
71.784,18.80759,-0.06575212,0.3739,1.0540100000000001
71.884,18.8408,-0.06575979,0.378,1.05399
71.984,18.87441,-0.06577794,0.37875,1.05398
72.084,18.908179999999998,-0.06642264,0.37876,1.05396
72.184,18.94163,-0.06641036,0.37458,1.05395
72.284,18.975189999999998,-0.0664062,0.3769,1.05393
72.384,19.008760000000002,-0.06703573,0.38366999999999996,1.05392
72.484,19.04244,-0.06773874,0.37624,1.0539100000000001
72.584,19.07609,-0.06702074,0.37177,1.05389
72.684,19.1097,-0.06675143,0.37139,1.05388
72.784,19.14315,-0.06711522,0.37635,1.05386
72.884,19.17655,-0.06707964,0.37395,1.05385
72.984,19.21022,-0.06708,0.37949,1.0538299999999998
73.084,19.24386,-0.06707939,0.38053000000000003,1.05382
73.184,19.277479999999997,-0.06710566,0.37540999999999997,1.0538
73.284,19.31087,-0.06676969,0.37637,1.05379
73.384,19.34439,-0.0677251,0.38064000000000003,1.05377
73.484,19.378079999999997,-0.06774006,0.37446,1.05376
73.584,19.41159,-0.06773995,0.37506999999999996,1.05374
73.684,19.44514,-0.06774504,0.37505,1.0537299999999998
73.784,19.478579999999997,-0.0671071,0.37846,1.05372
73.884,19.51238,-0.06709042,0.37701999999999997,1.0537
73.984,19.54617,-0.06826589,0.3766,1.05369
74.084,19.57958,-0.06839978,0.37589,1.05367
74.184,19.613020000000002,-0.06840002,0.37276,1.05366
74.284,19.64665,-0.0684,0.37501,1.05364
74.384,19.6801,-0.0684,0.3696,1.0536299999999998
74.484,19.71367,-0.0684,0.3728,1.05361
74.584,19.74715,-0.06839999,0.36912,1.0536
74.684,19.78053,-0.06839905,0.3768,1.05358
74.784,19.81415,-0.06865813,0.37773,1.0535700000000001
74.884,19.847720000000002,-0.06970619,0.3749,1.05355
74.984,19.881339999999998,-0.06970973,0.37581,1.05354
75.084,19.91468,-0.06973557,0.37389,1.05352
75.184,19.948079999999997,-0.06904484,0.37212,1.05351
75.284,19.98143,-0.06904989,0.37195,1.05349
75.384,20.014979999999998,-0.06905,0.37311,1.05348
75.484,20.04828,-0.06905,0.37498000000000004,1.05346
75.584,20.081670000000003,-0.06905,0.37426,1.05345
75.684,20.115070000000003,-0.06904988,0.37,1.0534299999999999
75.784,20.14819,-0.06905308,0.36785999999999996,1.05342
75.884,20.18149,-0.06775287,0.37173,1.0534
75.984,20.2149,-0.06774343,0.3806,1.05339
76.084,20.24835,-0.06902125,0.38105,1.0533700000000001
76.184,20.281670000000002,-0.0690491,0.37526,1.05336
76.284,20.315,-0.06905002,0.37842,1.05334
76.384,20.34828,-0.06904994,0.3774,1.0533299999999999
76.484,20.38185,-0.06903602,0.37624,1.05331
76.584,20.41529,-0.06891702,0.37340999999999996,1.0533
76.684,20.44872,-0.06906713,0.37082,1.05328
76.784,20.48208,-0.06906046,0.3717,1.0532700000000002
76.884,20.51545,-0.06906,0.37318,1.05325
76.984,20.548820000000003,-0.06905995,0.36806,1.0532299999999999
77.084,20.58225,-0.06902892,0.36996,1.05322
77.184,20.61554,-0.07038085,0.37082,1.0532
77.284,20.64919,-0.06904992,0.36944,1.05319
77.384,20.68262,-0.06903193,0.36908,1.0531700000000002
77.484,20.716,-0.06789464,0.38181,1.05316
77.584,20.74944,-0.0690611,0.36301,1.05314
77.684,20.782870000000003,-0.06905704,0.36819,1.05313
77.784,20.81641,-0.06949359,0.37113,1.05311
77.884,20.850189999999998,-0.0703819,0.36587,1.0531
77.984,20.88368,-0.07037987,0.37119,1.05308
78.084,20.91704,-0.07038316,0.36869,1.0530700000000002
78.184,20.95063,-0.06959832,0.3713,1.05305
78.284,20.98409,-0.06905741,0.37004000000000004,1.05303
78.384,21.01766,-0.06902473,0.37013,1.05302
78.484,21.05099,-0.07033594,0.36654000000000003,1.053
78.584,21.084310000000002,-0.07168371,0.35927,1.0529899999999999
78.684,21.11759,-0.07043005,0.35825999999999997,1.0529700000000002
78.784,21.1511,-0.07037079,0.35802,1.0529600000000001
78.884,21.18444,-0.07036999,0.36095,1.05294
78.984,21.21783,-0.07037,0.36423,1.05293
79.084,21.251160000000002,-0.07037001,0.3589,1.05291
79.184,21.28446,-0.07036975,0.36036999999999997,1.0528899999999999
79.284,21.31788,-0.07037841,0.36427,1.05288
79.384,21.3512,-0.07173215,0.36046,1.0528600000000001
79.484,21.384520000000002,-0.07168911,0.36244,1.05285
79.584,21.41793,-0.07169,0.3624,1.05283
79.684,21.45126,-0.07169,0.36241,1.05282
79.784,21.48455,-0.07169,0.3653,1.0528
79.884,21.51778,-0.07169002,0.36228,1.0527799999999998
79.984,21.55097,-0.0716918,0.36058,1.05277
80.084,21.584329999999998,-0.07134698,0.36025,1.05275
80.184,21.61766,-0.07103488,0.35854,1.05274
80.284,21.65086,-0.07135316,0.36127,1.05272
80.384,21.684260000000002,-0.07136017,0.36374,1.05271
80.484,21.71755,-0.0713599,0.3596,1.05269
80.584,21.75095,-0.07135102,0.36175,1.05267
80.684,21.78424,-0.07204328,0.35931,1.05266
80.784,21.81767,-0.07201986,0.35163,1.05264
80.884,21.851029999999998,-0.07201974,0.35573,1.05263
80.984,21.8844,-0.07205539,0.35486,1.05261
81.084,21.91769,-0.07290013,0.35638000000000003,1.05259
81.184,21.95105,-0.07299995,0.35352,1.0525799999999998
81.284,21.98434,-0.07272443,0.35519,1.05256
81.384,22.01763,-0.07168402,0.35657,1.05255
81.484,22.05095,-0.07168006,0.35198,1.05253
81.584,22.084210000000002,-0.07168,0.35367,1.05251
81.684,22.11748,-0.07168,0.35839,1.0525
81.784,22.15081,-0.07168,0.35423000000000004,1.0524799999999999
81.884,22.18415,-0.07168001,0.35574,1.05247
81.984,22.21787,-0.07167981,0.3499,1.05245
82.084,22.25156,-0.0716501,0.35074,1.05243
82.184,22.28509,-0.07288426,0.3513,1.0524200000000001
82.284,22.31863,-0.07300024,0.34509,1.0524
82.384,22.35201,-0.07301091,0.35519,1.05239
82.484,22.385379999999998,-0.07371391,0.34969,1.05237
82.584,22.41885,-0.07365993,0.35307,1.05235
82.684,22.45241,-0.07366241,0.35114,1.05234
82.784,22.48603,-0.0732564,0.35149,1.0523200000000001
82.884,22.519370000000002,-0.07233956,0.35089000000000004,1.0523
82.984,22.55278,-0.07234081,0.35555,1.05229
83.084,22.58621,-0.07228975,0.34769,1.05227
83.184,22.61974,-0.0736558,0.3459,1.05226
83.284,22.653170000000003,-0.07366027,0.34983000000000003,1.05224
83.384,22.68626,-0.07366,0.34652,1.0522200000000002
83.484,22.71931,-0.07366,0.34514,1.05221
83.584,22.75263,-0.07366,0.34298,1.05219
83.684,22.7862,-0.07366,0.35034,1.05217
83.784,22.81991,-0.07366007,0.34229,1.05216
83.884,22.85366,-0.07360548,0.34365999999999997,1.0521399999999999
83.984,22.88709,-0.07236047,0.34723000000000004,1.05213
84.084,22.92045,-0.07235008,0.34326999999999996,1.05211
84.184,22.95363,-0.07234958,0.34134000000000003,1.05209
84.284,22.98686,-0.07252213,0.34168000000000004,1.05208
84.384,23.02026,-0.07367366,0.3378,1.05206
84.484,23.05358,-0.07366987,0.3409,1.0520399999999999
84.584,23.08711,-0.07367,0.34655,1.05203
84.684,23.12058,-0.07367,0.33619,1.0520100000000001
84.784,23.15386,-0.07367,0.33869,1.05199
84.884,23.187279999999998,-0.07367,0.34586,1.05198
84.984,23.22084,-0.07367,0.34084000000000003,1.05196
85.084,23.25435,-0.07367,0.3367,1.0519399999999999
85.184,23.28765,-0.07366998,0.34123000000000003,1.05193
85.284,23.32101,-0.07383914,0.34517,1.0519100000000001
85.384,23.354589999999998,-0.07366,0.34184000000000003,1.05189
85.484,23.38844,-0.07366,0.33671,1.05188
85.584,23.42213,-0.07366,0.33841,1.05186
85.684,23.4556,-0.07366,0.34255,1.0518399999999999
85.784,23.48893,-0.07366,0.33739,1.0518299999999998
85.884,23.52214,-0.07366,0.33839,1.0518100000000001
85.984,23.55538,-0.07366,0.34141,1.05179
86.084,23.588720000000002,-0.07366,0.33735,1.05178
86.184,23.6221,-0.07365971,0.33401,1.05176
86.284,23.65545,-0.0737678,0.33605,1.05174
86.384,23.68873,-0.0749781,0.33788,1.0517299999999998
86.484,23.722070000000002,-0.07497987,0.33831999999999995,1.0517100000000001
86.584,23.75536,-0.07498001,0.34153,1.05169
86.684,23.788510000000002,-0.07497973,0.33671999999999996,1.05168
86.784,23.82176,-0.07489845,0.3342,1.05166
86.884,23.85497,-0.07548183,0.33644,1.05164
86.984,23.888379999999998,-0.07497455,0.32883,1.0516299999999998
87.084,23.921860000000002,-0.07497981,0.33648,1.05161
87.184,23.955370000000002,-0.07498,0.33421,1.05159
87.284,23.98899,-0.07498,0.33376,1.0515700000000001
87.384,24.02246,-0.07498,0.32478,1.05156
87.484,24.05588,-0.07498,0.33066999999999996,1.05154
87.584,24.08935,-0.07498,0.33086,1.05152
87.684,24.12285,-0.07498378,0.32958000000000004,1.05151
87.784,24.15624,-0.07449187,0.33321,1.05149
87.884,24.18959,-0.07432032,0.33157,1.0514700000000001
87.984,24.22308,-0.07431997,0.33129000000000003,1.05146
88.084,24.256520000000002,-0.0743203,0.33047,1.05144
88.184,24.28986,-0.07432754,0.33394,1.05142
88.284,24.32312,-0.07529324,0.33281,1.0514
88.384,24.35671,-0.07532727,0.32806,1.05139
88.484,24.39024,-0.07595998,0.32861,1.0513700000000001
88.584,24.423779999999997,-0.07597036,0.32598,1.05135
88.684,24.45729,-0.07596988,0.3272,1.05134
88.784,24.49098,-0.07596003,0.33105999999999997,1.05132
88.884,24.52439,-0.07488345,0.32228,1.0513
88.984,24.55783,-0.07499078,0.32758000000000004,1.05128
89.084,24.5908,-0.07597114,0.32464,1.0512700000000001
89.184,24.62402,-0.07595971,0.32552,1.05125
89.284,24.65708,-0.07595997,0.32463000000000003,1.0512299999999999
89.384,24.69025,-0.07595817,0.3258,1.05121
