#EXPORTTYPE,DATA ALL
#FILE,PUF_test(grind1)_10K_3.ngb-ds3
#FORMAT,NETZSCH5
#FTYPE,ANSI
#IDENTITY,PUF_10K
#DECIMAL,POINT
#SEPARATOR,SEMICOLON
#MTYPE,DSC
#INSTRUMENT,NETZSCH STA 449F3
#PROJECT,NIJ 2019
#DATE/TIME,01.03.2021 09
#CORR. FILE,Correction_10K (22 Feb).ngb-bs3
#TEMPCAL,28-01-2021 12
#SENSITIVITY,28-01-2021 12
#LABORATORY,UL FSRI
#OPERATOR,Mark
#REMARK,236.69 mg crucible mass - Sample prepared as powder with cryogenic mill
#SAMPLE,PUF_10K
#SAMPLE MASS /mg,4.71
#MATERIAL,PUF
#REFERENCE,
#REFERENCE MASS /mg,0
#TYPE OF CRUCIBLE,"PtRh20 0.19 ml, with lid"
#SAMPLE CRUCIBLE MASS /mg,0
#REFERENCE CRUCIBLE MASS /mg,0
#DSC RANGE /µV,5000
#TG RANGE /mg,35000
#TAU-R,---
#CORR. CODE,020
#EXO,-1
#RANGE,50°C/10.0(K/min)/650°C
#SEGMENT,S2/3
#SEG. 2,50°C/10.0(K/min)/650°C
