Time after Ignition,Overstuffed_Chair_Assembly_R1,Overstuffed_Chair_Assembly_R2,Overstuffed_Chair_Assembly_R3,Mean,Std. Dev.
0.0,13.5,23.5,14.6,17.2,5.5
0.25,14.9,27.3,23.4,21.9,6.4
0.5,19.9,36.9,32.2,29.7,8.8
0.75,24.9,45.1,40.6,36.8,10.6
1.0,28.5,54.2,46.9,43.2,13.2
1.25,32.1,61.9,60.0,51.3,16.7
1.5,36.2,65.1,70.6,57.3,18.5
1.75,44.8,74.9,80.2,66.6,19.1
2.0,52.5,85.5,90.7,76.3,20.7
2.25,60.0,92.1,102.2,84.8,22.0
2.5,65.6,97.4,111.3,91.4,23.4
2.75,71.4,102.8,120.9,98.3,25.0
3.0,82.6,109.9,128.6,107.0,23.2
3.25,87.3,115.0,139.2,113.8,26.0
3.5,96.7,121.5,143.0,120.4,23.2
3.75,101.7,129.1,156.3,129.0,27.3
4.0,107.8,134.5,162.0,134.8,27.1
4.25,118.0,143.1,165.0,142.0,23.5
4.5,125.2,142.1,175.2,147.5,25.4
4.75,126.9,145.5,181.8,151.4,27.9
5.0,135.6,148.9,183.3,155.9,24.6
5.25,143.2,150.2,190.8,161.4,25.7
5.5,144.2,157.0,200.6,167.3,29.5
5.75,151.5,160.0,205.1,172.2,28.8
6.0,155.6,161.1,202.4,173.0,25.6
6.25,162.0,164.8,213.3,180.0,28.9
6.5,165.1,163.4,212.2,180.2,27.7
6.75,169.3,166.9,217.1,184.4,28.3
7.0,173.6,166.7,218.0,186.1,27.9
7.25,178.1,167.8,223.7,189.8,29.7
7.5,178.3,174.2,227.3,193.3,29.5
7.75,181.6,173.3,229.3,194.8,30.2
8.0,183.6,176.9,227.4,195.9,27.4
8.25,186.3,180.0,232.7,199.7,28.8
8.5,191.0,184.7,236.8,204.2,28.4
8.75,190.0,183.1,234.5,202.5,27.9
9.0,190.1,187.6,239.3,205.7,29.2
9.25,193.6,189.2,239.4,207.4,27.8
9.5,192.7,191.7,240.5,208.3,27.9
9.75,198.5,191.5,242.8,210.9,27.8
10.0,194.4,194.7,238.4,209.2,25.3
