Names,Overstuffed_Chair_Assembly_R1,Overstuffed_Chair_Assembly_R2,Overstuffed_Chair_Assembly_R3,Mean,Std. Dev.
239,30.3,,,30.3,
240,33.9,,,33.9,
241,36.1,,,36.1,
242,38.7,,,38.7,
243,43.1,,,43.1,
244,46.5,,,46.5,
245,49.1,,,49.1,
246,52.9,,,52.9,
247,56.2,,,56.2,
248,60.3,,,60.3,
249,63.9,,,63.9,
250,68.2,,66.9,67.6,0.9
251,69.9,,70.2,70.0,0.2
252,71.6,,73.0,72.3,1.0
253,73.4,,75.5,74.5,1.5
254,77.2,,79.0,78.1,1.2
255,81.5,,81.9,81.7,0.3
256,83.8,,83.8,83.8,0.0
257,88.1,,87.0,87.5,0.8
258,90.5,,88.8,89.6,1.2
259,94.9,,92.2,93.5,1.9
260,97.7,,95.0,96.3,1.9
261,101.2,,96.3,98.7,3.5
262,105.5,,98.9,102.2,4.7
263,107.8,,100.5,104.1,5.2
264,111.0,,101.4,106.2,6.8
265,114.5,,108.9,111.7,4.0
266,116.7,,108.0,112.3,6.1
267,117.9,,109.6,113.7,5.8
268,123.7,,111.4,117.5,8.7
269,126.1,,112.4,119.2,9.7
270,133.6,,111.7,122.7,15.4
271,128.5,,115.9,122.2,8.9
272,131.8,,113.3,122.6,13.0
273,135.2,,117.2,126.2,12.7
274,135.8,,116.4,126.1,13.8
275,140.2,,119.3,129.8,14.8
276,141.6,,118.4,130.0,16.4
277,145.4,,122.8,134.1,16.0
278,146.9,,121.4,134.2,18.0
279,143.0,,125.1,134.0,12.7
280,147.1,,124.4,135.8,16.0
281,150.9,,127.8,139.4,16.3
282,154.2,,127.1,140.7,19.1
283,155.1,,129.6,142.4,18.0
284,156.4,,135.5,146.0,14.7
285,154.2,,136.3,145.3,12.7
286,161.7,,136.8,149.3,17.6
287,165.4,,138.6,152.0,19.0
288,165.8,,141.4,153.6,17.2
289,165.0,,143.3,154.2,15.3
290,171.1,,142.5,156.8,20.2
291,174.8,,145.8,160.3,20.5
292,177.8,,152.8,165.3,17.7
293,173.1,,151.1,162.1,15.6
294,180.2,,152.9,166.5,19.3
295,185.1,,150.5,167.8,24.5
296,187.0,,156.1,171.6,21.8
297,185.5,,156.5,171.0,20.5
298,190.5,,162.0,176.2,20.2
299,195.4,,157.0,176.2,27.2
300,198.3,,160.6,179.5,26.7
301,195.8,,158.7,177.2,26.2
302,200.8,,161.7,181.2,27.7
303,199.8,,160.7,180.3,27.6
304,201.8,,162.8,182.3,27.6
305,201.4,,163.4,182.4,26.9
306,208.5,,161.3,184.9,33.3
307,208.5,137.5,166.6,170.9,35.7
308,211.6,139.3,164.0,171.7,36.7
309,214.1,139.5,165.9,173.2,37.8
310,212.2,140.3,165.2,172.5,36.5
311,219.8,142.4,162.0,174.7,40.2
312,219.3,141.2,162.8,174.4,40.4
313,224.2,143.0,164.8,177.3,42.0
314,218.7,145.9,162.6,175.7,38.2
315,226.9,145.8,162.1,178.2,42.9
316,219.6,144.5,163.0,175.7,39.1
317,221.5,143.8,167.3,177.5,39.8
318,229.4,145.5,163.2,179.4,44.2
319,231.8,141.8,161.7,178.4,47.2
320,230.1,145.5,162.1,179.2,44.9
321,230.3,147.9,160.3,179.5,44.4
322,235.0,147.1,161.3,181.1,47.2
323,234.2,147.9,162.3,181.5,46.2
324,237.6,149.5,162.0,183.0,47.7
325,237.7,149.6,161.3,182.9,47.9
326,243.3,150.9,162.8,185.7,50.3
327,249.9,149.6,163.4,187.6,54.4
328,246.0,152.1,161.9,186.7,51.6
329,245.3,149.8,160.4,185.2,52.4
330,251.1,154.9,160.9,189.0,53.9
331,259.9,156.4,159.6,192.0,58.8
332,256.4,158.3,162.9,192.5,55.3
333,255.2,156.0,166.7,192.6,54.5
334,262.5,155.7,168.2,195.5,58.4
335,259.7,156.9,163.4,193.3,57.6
336,255.3,157.9,164.1,192.4,54.5
337,261.5,155.2,164.6,193.7,58.9
338,265.7,158.5,167.0,197.0,59.6
339,270.5,158.7,170.3,199.8,61.5
340,266.8,157.8,173.2,199.3,59.0
341,266.3,157.5,171.0,198.3,59.3
342,262.5,159.7,170.5,197.6,56.5
343,266.1,160.9,173.1,200.1,57.5
344,268.0,162.8,176.1,202.3,57.3
345,265.5,162.0,171.9,199.8,57.1
346,267.4,159.5,173.4,200.1,58.7
347,268.5,161.7,174.0,201.4,58.4
348,266.1,161.7,175.1,201.0,56.8
349,263.8,161.8,175.3,200.3,55.4
350,268.4,163.2,175.3,202.3,57.6
351,267.4,165.7,175.0,202.7,56.2
352,266.5,165.4,175.1,202.4,55.8
353,267.8,165.9,178.8,204.1,55.5
354,275.8,165.1,182.3,207.7,59.6
355,273.5,167.5,177.4,206.1,58.6
356,264.5,164.2,180.4,203.0,53.8
357,272.7,166.2,178.3,205.7,58.3
358,277.1,164.7,180.0,207.2,60.9
359,264.6,166.8,181.0,204.1,52.9
360,270.0,169.2,183.1,207.4,54.6
361,270.4,165.0,181.3,205.6,56.7
362,275.0,167.4,186.0,209.5,57.5
363,273.7,165.7,187.0,208.8,57.2
364,279.9,166.7,192.4,213.0,59.4
365,277.5,167.1,192.3,212.3,57.9
366,275.4,167.0,195.1,212.5,56.2
367,271.8,167.4,198.6,212.6,53.6
368,273.0,164.4,204.2,213.9,54.9
369,273.6,168.2,201.6,214.5,53.9
370,270.7,168.3,203.9,214.3,52.0
371,274.4,166.3,208.0,216.2,54.5
372,273.7,164.6,206.1,214.8,55.1
373,271.3,173.0,212.6,219.0,49.5
374,274.3,165.5,211.8,217.2,54.6
375,276.4,166.8,212.7,218.7,55.0
376,270.5,169.7,211.8,217.3,50.6
377,269.2,173.2,217.3,219.9,48.1
378,271.0,174.2,216.1,220.4,48.5
379,269.4,172.1,218.9,220.1,48.6
380,263.1,176.5,217.6,219.1,43.3
381,262.5,174.3,221.7,219.5,44.2
382,267.6,178.1,220.2,222.0,44.8
383,269.9,181.3,218.1,223.1,44.5
384,272.0,180.8,218.9,223.9,45.8
385,262.5,183.5,227.8,224.6,39.6
386,262.8,185.0,228.6,225.5,39.0
387,263.4,191.4,221.3,225.4,36.2
388,266.7,192.3,224.9,228.0,37.3
