Time after Ignition,Fiberglass_Insulation_R30_Paper_Faced_R1,Fiberglass_Insulation_R30_Paper_Faced_R2,Fiberglass_Insulation_R30_Paper_Faced_R3,Mean,Std. Dev.
0.0,20.0,55.9,93.9,56.6,36.9
0.25,37.0,67.6,102.8,69.1,32.9
0.5,49.0,79.4,110.5,79.6,30.7
0.75,59.9,91.5,122.5,91.3,31.3
1.0,69.0,100.6,133.5,101.1,32.3
1.25,76.5,103.0,143.2,107.6,33.6
1.5,89.2,111.4,156.3,119.0,34.2
1.75,97.0,119.3,167.1,127.8,35.9
2.0,106.6,128.1,179.1,137.9,37.3
2.25,112.6,132.8,190.4,145.3,40.4
2.5,119.0,139.9,192.9,150.6,38.1
2.75,126.3,142.9,199.5,156.2,38.4
3.0,132.1,143.9,200.4,158.8,36.5
3.25,135.9,141.5,205.8,161.0,38.8
3.5,138.1,143.1,204.9,162.0,37.2
3.75,138.6,144.5,201.7,161.6,34.8
4.0,136.8,139.1,200.7,158.9,36.2
4.25,138.0,135.5,198.4,157.3,35.6
4.5,137.2,131.3,192.5,153.7,33.7
4.75,133.7,128.6,185.8,149.4,31.6
5.0,129.0,127.8,180.0,145.6,29.8
5.25,130.8,125.9,176.1,144.3,27.7
5.5,128.1,121.2,169.6,139.6,26.2
5.75,125.0,118.7,163.8,135.8,24.4
6.0,122.0,115.3,157.0,131.4,22.4
6.25,117.9,111.2,152.2,127.1,22.0
6.5,115.1,109.8,147.8,124.2,20.6
6.75,114.0,103.8,139.1,119.0,18.2
7.0,108.3,102.4,134.7,115.2,17.2
7.25,106.0,97.5,129.6,111.0,16.6
7.5,104.0,,122.8,113.4,13.3
7.75,99.8,,120.0,109.9,14.3
8.0,97.2,,116.8,107.0,13.9
8.25,97.3,,110.5,103.9,9.4
8.5,91.6,,108.8,100.2,12.1
8.75,89.7,,104.7,97.2,10.5
9.0,88.8,,100.7,94.8,8.4
9.25,85.5,,98.7,92.1,9.4
9.5,82.5,,95.0,88.8,8.8
9.75,78.2,,93.7,86.0,11.0
10.0,76.7,,91.3,84.0,10.3
10.25,72.8,,86.4,79.6,9.6
10.5,70.5,,86.0,78.2,11.0
10.75,66.5,,82.8,74.6,11.5
11.0,64.8,,81.6,73.2,11.9
11.25,63.3,,80.1,71.7,11.8
11.5,60.9,,76.3,68.6,10.8
11.75,59.3,,75.3,67.3,11.3
12.0,56.9,,74.3,65.6,12.3
12.25,55.0,,71.3,63.2,11.6
12.5,53.6,,68.9,61.3,10.9
12.75,52.3,,68.1,60.2,11.1
13.0,48.9,,66.3,57.6,12.2
13.25,48.2,,64.5,56.4,11.5
13.5,46.9,,62.8,54.9,11.2
13.75,45.5,,61.0,53.2,10.9
14.0,44.2,,59.4,51.8,10.8
14.25,42.6,,58.4,50.5,11.1
14.5,42.2,,57.0,49.6,10.4
14.75,40.2,,55.6,47.9,10.9
15.0,39.9,,54.8,47.3,10.5
15.25,37.3,,52.8,45.1,10.9
