Time after Ignition,Fiberglass_Insulation_R30_Paper_Faced_R1,Fiberglass_Insulation_R30_Paper_Faced_R2,Fiberglass_Insulation_R30_Paper_Faced_R3,Mean,Std. Dev.
0.0,99.5,49.2,33.3,60.7,34.5
0.25,106.2,59.9,44.3,70.1,32.2
0.5,114.3,69.3,52.1,78.6,32.1
0.75,121.5,76.2,66.2,88.0,29.5
1.0,138.3,84.4,70.8,97.9,35.7
1.25,139.6,93.1,77.6,103.4,32.3
1.5,146.2,98.9,86.6,110.6,31.4
1.75,151.6,107.0,92.9,117.2,30.6
2.0,161.2,110.6,100.4,124.0,32.6
2.25,166.5,117.2,109.3,131.0,31.0
2.5,174.5,124.0,114.9,137.8,32.1
2.75,180.8,128.7,123.6,144.4,31.6
3.0,187.9,131.0,127.2,148.7,34.0
3.25,190.6,133.7,135.4,153.3,32.4
3.5,189.9,135.5,137.3,154.2,30.9
3.75,190.3,137.0,138.9,155.4,30.3
4.0,193.2,134.8,142.7,156.9,31.7
4.25,187.2,133.1,146.4,155.6,28.2
4.5,184.7,130.6,147.0,154.1,27.7
4.75,179.2,130.8,145.0,151.7,24.9
5.0,175.0,128.6,143.4,149.0,23.7
5.25,168.7,127.9,143.5,146.7,20.5
5.5,162.6,122.7,143.2,142.9,19.9
5.75,159.9,120.2,138.6,139.6,19.9
6.0,154.5,118.5,133.5,135.5,18.1
6.25,153.6,114.4,133.1,133.7,19.6
6.5,153.8,111.9,129.4,131.7,21.0
6.75,147.2,109.5,125.5,127.4,18.9
7.0,143.1,105.8,120.9,123.3,18.8
7.25,139.3,103.6,117.5,120.1,18.0
7.5,133.8,99.9,112.8,115.5,17.1
7.75,131.3,99.8,109.5,113.5,16.1
8.0,126.0,91.7,107.5,108.4,17.2
8.25,121.7,88.2,102.2,104.0,16.8
8.5,119.1,89.8,96.8,101.9,15.3
8.75,112.9,86.4,94.7,98.0,13.6
9.0,111.6,,91.0,101.3,14.5
9.25,108.3,,86.4,97.4,15.5
9.5,104.6,,82.6,93.6,15.6
9.75,100.1,,78.8,89.4,15.1
10.0,96.4,,,96.4,
10.25,93.5,,,93.5,
10.5,90.3,,,90.3,
10.75,87.4,,,87.4,
11.0,82.9,,,82.9,
11.25,80.5,,,80.5,
11.5,78.0,,,78.0,
11.75,75.7,,,75.7,
