LABORATORY,FSRI 
TEST IDENT,Pine_Siding_HF25_3
OPERATOR,Dow
MATERIAL,Pine Siding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03977454826235771
SPEC HOLDER DIFF,-566
SPECIMEN MASS,85.5199966430664
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,6565
TIME TO IGN,71.75
END OF TEST SCAN,6085
END OF TEST TIME,1521.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.75 x 101.22 x 17.97 mm
POST TEST CMT,Some minor warping in last minute prior to extinguishment.
