LABORATORY,FSRI 
TEST IDENT,Pine_Siding_HF25_1
OPERATOR,Dow
MATERIAL,Pine Siding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03977454826235771
SPEC HOLDER DIFF,-566
SPECIMEN MASS,171.4600067138672
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5528
TIME TO IGN,72.75
END OF TEST SCAN,5048
END OF TEST TIME,1262
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.86 x 101.59 x 37.98 mm
POST TEST CMT,Sample warped into arch shape during end of decay phase. See post test pictures.
