Time after Ignition,Pine_Siding_R1,Pine_Siding_R2,Pine_Siding_R3,Mean,Std. Dev.
0.0,9.3,7.3,18.7,11.8,6.1
0.25,10.3,7.5,20.6,12.8,6.9
0.5,17.9,12.3,21.9,17.4,4.8
0.75,23.9,16.9,23.4,21.4,3.9
1.0,29.8,20.8,24.8,25.2,4.5
1.25,34.5,23.9,30.2,29.5,5.4
1.5,39.3,27.0,35.4,33.9,6.3
1.75,50.0,37.1,40.6,42.5,6.7
2.0,59.7,47.3,44.4,50.5,8.1
2.25,68.7,54.7,54.4,59.3,8.2
2.5,74.8,62.7,63.7,67.1,6.7
2.75,93.9,69.6,70.4,78.0,13.8
3.0,104.7,84.7,78.0,89.1,13.9
3.25,118.1,98.2,83.6,100.0,17.3
3.5,129.8,113.0,95.4,112.8,17.2
3.75,145.6,120.8,103.5,123.3,21.2
4.0,166.3,138.0,114.1,139.5,26.1
4.25,171.3,149.5,123.2,148.0,24.1
4.5,187.3,165.3,140.5,164.4,23.4
4.75,197.2,176.1,151.4,174.9,22.9
5.0,214.2,193.0,162.7,190.0,25.9
5.25,228.1,206.5,176.9,203.8,25.7
5.5,241.0,216.0,193.9,217.0,23.6
5.75,238.5,218.7,211.0,222.7,14.2
6.0,252.8,227.4,213.5,231.2,19.9
6.25,262.5,243.3,233.8,246.5,14.6
6.5,270.8,253.3,241.1,255.1,15.0
6.75,281.8,265.8,253.3,267.0,14.3
7.0,292.0,266.9,264.7,274.5,15.1
7.25,300.4,279.8,276.6,285.6,12.9
7.5,306.1,292.7,277.6,292.2,14.3
7.75,311.3,297.4,288.5,299.0,11.5
8.0,321.1,298.1,297.1,305.4,13.6
8.25,329.7,308.8,301.5,313.4,14.6
8.5,336.9,314.2,312.5,321.2,13.6
8.75,342.0,329.1,318.8,330.0,11.6
9.0,346.4,322.2,325.5,331.4,13.1
9.25,352.6,332.1,329.9,338.2,12.5
9.5,354.7,336.8,342.1,344.5,9.2
9.75,358.5,339.9,340.2,346.2,10.7
10.0,360.4,339.7,342.5,347.5,11.2
10.25,368.6,341.4,352.5,354.2,13.7
10.5,362.6,356.6,362.8,360.7,3.5
10.75,377.2,347.3,364.1,362.9,15.0
11.0,377.3,355.1,355.8,362.7,12.6
11.25,374.7,358.8,360.4,364.7,8.8
11.5,375.6,350.2,361.4,362.4,12.8
11.75,381.2,365.2,371.6,372.7,8.0
12.0,369.3,363.8,375.5,369.5,5.9
12.25,371.1,365.5,368.0,368.2,2.8
12.5,369.7,364.1,373.6,369.1,4.8
12.75,373.2,361.5,377.1,370.6,8.1
13.0,374.4,363.4,374.7,370.8,6.4
13.25,381.0,360.5,369.2,370.2,10.3
13.5,379.2,366.1,376.4,373.9,6.9
13.75,373.3,368.6,374.4,372.1,3.1
14.0,372.6,361.4,371.2,368.4,6.1
14.25,378.2,361.0,365.8,368.3,8.9
14.5,376.4,358.4,371.3,368.7,9.2
14.75,366.6,364.5,373.0,368.0,4.4
15.0,379.6,362.8,369.9,370.8,8.4
15.25,366.4,361.5,371.1,366.3,4.8
15.5,366.1,354.7,371.1,364.0,8.4
15.75,363.6,358.3,371.1,364.3,6.5
16.0,360.5,365.4,365.1,363.7,2.7
16.25,359.1,356.7,361.2,359.0,2.2
16.5,349.9,351.9,357.2,353.0,3.8
16.75,352.6,351.7,355.5,353.3,2.0
17.0,350.3,353.6,362.7,355.5,6.5
17.25,344.3,353.1,355.0,350.8,5.7
17.5,341.4,358.8,352.1,350.8,8.8
17.75,339.7,353.9,352.3,348.6,7.8
18.0,337.6,347.6,345.1,343.4,5.2
18.25,330.2,349.8,351.3,343.8,11.7
18.5,325.1,351.4,352.0,342.8,15.3
18.75,329.0,346.3,345.0,340.1,9.6
19.0,326.6,344.7,345.0,338.8,10.5
19.25,319.7,340.6,342.2,334.1,12.6
19.5,321.3,348.8,332.4,334.2,13.8
19.75,311.6,340.9,330.8,327.8,14.9
20.0,313.7,344.5,332.8,330.3,15.6
20.25,310.0,338.3,324.7,324.3,14.2
20.5,306.6,337.7,331.5,325.3,16.4
20.75,314.5,343.0,324.1,327.2,14.5
21.0,313.0,337.9,328.7,326.5,12.6
21.25,304.7,337.2,323.1,321.7,16.3
21.5,304.1,330.2,313.2,315.8,13.2
21.75,301.2,333.8,311.7,315.6,16.7
22.0,297.9,332.8,318.6,316.4,17.5
22.25,295.7,335.9,310.4,314.0,20.3
22.5,293.2,334.9,307.4,311.8,21.2
22.75,296.6,328.2,313.8,312.8,15.8
23.0,290.5,328.4,310.4,309.8,19.0
23.25,291.7,329.5,310.8,310.7,18.9
23.5,290.8,322.9,310.1,307.9,16.1
23.75,283.9,320.1,308.0,304.0,18.4
24.0,285.1,322.9,299.3,302.4,19.1
24.25,283.6,318.5,306.9,303.0,17.8
24.5,283.6,321.3,298.7,301.2,19.0
24.75,276.0,320.3,300.6,299.0,22.2
25.0,281.4,321.8,291.6,298.3,21.0
25.25,279.9,317.9,292.8,296.8,19.3
25.5,271.9,317.4,294.5,294.6,22.8
25.75,269.4,320.1,296.3,295.3,25.4
26.0,262.9,311.8,294.0,289.6,24.7
26.25,270.5,310.9,294.7,292.0,20.4
26.5,265.3,315.1,289.9,290.1,24.9
26.75,259.8,314.6,287.9,287.4,27.4
27.0,264.1,305.4,290.9,286.8,21.0
27.25,262.3,320.0,286.7,289.7,29.0
27.5,261.1,313.4,282.8,285.8,26.3
27.75,257.6,319.5,276.9,284.7,31.7
28.0,257.3,313.1,282.1,284.2,27.9
28.25,259.5,307.0,274.6,280.3,24.3
28.5,255.7,303.6,277.9,279.1,24.0
28.75,254.7,300.4,279.6,278.2,22.9
29.0,256.3,308.8,278.6,281.2,26.3
29.25,252.8,304.4,271.2,276.1,26.2
29.5,248.8,305.9,270.9,275.2,28.8
29.75,247.7,309.9,271.7,276.4,31.4
30.0,250.2,310.5,272.9,277.8,30.4
30.25,249.0,302.6,267.4,273.0,27.2
30.5,243.6,297.8,267.7,269.7,27.1
30.75,246.3,305.6,265.1,272.3,30.3
31.0,241.2,295.5,263.7,266.8,27.3
31.25,241.0,300.1,259.9,267.0,30.2
31.5,244.6,305.2,259.0,269.6,31.7
31.75,243.9,298.8,259.2,267.3,28.3
32.0,240.4,302.4,257.4,266.7,32.1
32.25,240.8,299.6,256.4,265.6,30.5
32.5,239.6,297.3,254.4,263.8,30.0
