#EXPORTTYPE,NGB PARSER
#FILE,Bmore_Fire_Helmet_Shield_STA_N2_10K_240223_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,Helmet_Shield
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2024-02-23T22:48:05+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Helmet_Shield
2 angular position reference lines on crucible.  If looking at front of crucible, used left one for sample.  Not sure which one was used for correction, but reasonably sure I used the right one.  Approx. 20-30 degrees position difference about vertical axis."
#SAMPLE,Helmet_Shield
#SAMPLE MASS/mg,3.98
#MATERIAL,Helmet_Shield
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,254.0399932861328
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
