Time after Ignition,Vinyl_Plank_Flooring_R1,Vinyl_Plank_Flooring_R2,Vinyl_Plank_Flooring_R3,Mean,Std. Dev.
0.0,18.5,14.7,5.8,13.0,6.5
0.25,21.9,16.0,7.1,15.0,7.5
0.5,25.4,23.1,8.3,18.9,9.3
0.75,27.5,29.4,11.5,22.8,9.8
1.0,35.9,34.7,14.7,28.4,11.9
1.25,44.0,49.9,17.0,37.0,17.5
1.5,50.1,63.3,20.1,44.5,22.1
1.75,55.9,76.6,21.9,51.5,27.6
2.0,61.1,86.4,26.3,57.9,30.1
2.25,73.6,97.5,31.6,67.6,33.4
2.5,86.6,116.8,35.5,79.6,41.1
2.75,96.1,136.2,38.9,90.4,48.9
3.0,105.6,149.5,50.8,101.9,49.5
3.25,117.3,166.0,60.9,114.7,52.6
3.5,132.8,177.2,69.7,126.6,54.0
3.75,146.5,194.8,76.6,139.3,59.4
4.0,157.8,202.8,93.8,151.5,54.8
4.25,167.8,216.6,106.8,163.8,55.0
4.5,171.1,235.5,117.2,174.6,59.3
4.75,183.2,242.3,130.1,185.2,56.1
5.0,194.5,254.0,138.6,195.7,57.7
5.25,205.2,262.8,152.9,207.0,54.9
5.5,218.6,266.5,168.2,217.7,49.1
5.75,220.4,270.3,181.9,224.2,44.3
6.0,231.8,284.5,197.2,237.8,43.9
6.25,239.8,289.2,208.6,245.9,40.6
6.5,247.5,294.9,218.5,253.6,38.6
6.75,250.5,301.8,223.9,258.7,39.6
7.0,256.6,304.0,238.9,266.5,33.7
7.25,261.5,310.8,242.7,271.7,35.2
7.5,267.6,302.6,250.1,273.4,26.7
7.75,265.8,300.3,255.8,274.0,23.3
8.0,267.9,307.1,263.8,279.6,23.9
8.25,271.6,302.8,272.1,282.1,17.9
8.5,275.9,303.3,275.7,285.0,15.9
8.75,272.2,300.1,275.2,282.5,15.3
9.0,272.2,294.3,284.4,283.6,11.1
9.25,272.8,283.6,288.7,281.7,8.1
9.5,271.0,287.5,287.9,282.1,9.6
9.75,266.3,282.0,280.4,276.2,8.6
10.0,267.0,285.4,284.6,279.0,10.4
10.25,268.3,286.3,290.0,281.5,11.6
10.5,265.9,286.8,279.1,277.3,10.6
10.75,275.7,283.2,282.5,280.4,4.2
11.0,270.3,277.2,271.8,273.1,3.6
11.25,265.9,280.1,278.5,274.8,7.8
11.5,264.0,278.7,278.4,273.7,8.4
11.75,264.1,276.1,268.4,269.5,6.1
12.0,266.3,270.9,266.4,267.9,2.7
12.25,265.5,270.2,268.0,267.9,2.3
12.5,262.2,268.4,268.6,266.4,3.7
12.75,264.2,264.2,269.2,265.9,2.9
13.0,264.3,269.7,260.5,264.8,4.6
13.25,264.3,272.5,259.1,265.3,6.7
13.5,260.7,271.0,258.5,263.4,6.7
13.75,258.7,271.9,258.4,263.0,7.7
14.0,262.3,272.5,260.4,265.0,6.5
14.25,268.9,274.6,260.3,268.0,7.2
14.5,265.2,271.9,261.4,266.2,5.3
14.75,264.5,277.7,262.9,268.4,8.1
15.0,268.2,274.7,260.3,267.8,7.2
15.25,266.7,281.0,258.4,268.7,11.4
15.5,270.0,284.5,257.3,270.6,13.6
15.75,269.2,287.7,263.3,273.4,12.8
16.0,270.7,287.5,263.9,274.0,12.1
16.25,275.5,291.2,263.8,276.9,13.8
16.5,274.7,290.8,263.5,276.4,13.7
16.75,277.2,295.3,270.9,281.2,12.7
17.0,278.3,299.1,262.1,279.8,18.6
17.25,273.4,295.4,267.1,278.6,14.8
17.5,274.9,301.7,261.8,279.5,20.4
17.75,276.7,301.9,266.0,281.5,18.5
18.0,282.2,304.9,272.3,286.5,16.7
18.25,280.4,311.4,267.5,286.4,22.6
18.5,276.0,311.4,268.5,285.3,22.9
18.75,283.2,300.0,261.3,281.5,19.4
19.0,278.6,316.2,268.6,287.8,25.1
19.25,280.0,304.8,271.0,285.3,17.5
19.5,278.2,312.7,278.5,289.8,19.9
19.75,280.6,311.4,279.4,290.5,18.1
20.0,282.2,311.5,275.8,289.9,19.0
