Names,Vinyl_Plank_Flooring_R1,Vinyl_Plank_Flooring_R2,Vinyl_Plank_Flooring_R3,Mean,Std. Dev.
106,406.2,394.5,474.1,424.9,43.0
107,402.4,406.8,485.8,431.7,46.9
108,394.1,400.0,487.8,427.3,52.5
109,405.6,403.9,487.5,432.3,47.8
110,411.8,398.4,484.8,431.7,46.5
111,417.6,416.4,491.9,441.9,43.3
112,411.3,414.1,479.5,435.0,38.6
113,413.3,404.4,480.3,432.7,41.5
114,414.6,417.4,485.8,439.2,40.3
115,422.6,413.6,489.1,441.8,41.2
116,422.4,416.7,486.0,441.7,38.4
117,415.4,412.5,477.2,435.0,36.5
118,423.5,403.8,473.0,433.4,35.6
119,413.8,405.4,467.7,429.0,33.8
120,414.1,422.5,466.3,434.3,28.0
121,421.7,416.7,471.9,436.8,30.5
122,422.3,409.4,461.7,431.1,27.3
123,409.6,408.0,449.2,422.2,23.3
124,411.4,410.5,462.9,428.3,30.0
125,412.9,409.5,454.7,425.7,25.1
126,419.8,404.6,449.8,424.7,23.0
127,406.7,411.3,445.1,421.0,21.0
128,420.5,403.9,448.4,424.3,22.5
129,414.2,405.4,439.7,419.8,17.8
130,414.5,399.2,426.3,413.3,13.6
131,410.2,405.8,439.8,418.6,18.5
132,416.5,396.0,441.5,418.0,22.8
133,404.3,394.8,436.5,411.8,21.8
134,405.9,399.1,430.8,411.9,16.7
135,401.0,411.9,430.6,414.5,15.0
136,400.9,396.5,429.3,408.9,17.8
137,397.5,390.5,423.4,403.8,17.3
138,395.0,391.0,431.1,405.7,22.1
139,396.5,391.0,419.9,402.5,15.4
140,397.0,393.7,428.3,406.3,19.1
141,393.4,401.0,422.5,405.6,15.1
142,391.4,402.4,427.5,407.1,18.5
143,395.5,392.9,412.6,400.3,10.7
144,387.1,389.6,401.7,392.8,7.8
145,382.6,388.3,400.8,390.6,9.3
146,384.6,388.7,401.8,391.7,9.0
147,386.5,393.2,399.6,393.1,6.6
148,382.9,398.5,390.0,390.5,7.8
149,380.7,391.6,390.0,387.4,5.9
150,380.5,394.1,384.0,386.2,7.1
151,385.4,406.6,384.9,392.3,12.4
152,383.6,394.5,375.1,384.4,9.7
153,383.0,392.2,370.1,381.8,11.1
154,377.4,401.2,375.0,384.6,14.5
155,381.1,392.2,370.8,381.4,10.7
156,379.6,396.3,367.2,381.1,14.6
157,363.7,397.4,363.6,374.9,19.5
158,372.4,396.9,352.4,373.9,22.3
159,372.4,393.8,356.5,374.2,18.7
160,368.1,395.1,359.0,374.1,18.8
161,364.7,393.3,350.1,369.3,22.0
162,355.6,388.8,350.3,364.9,20.9
163,370.9,389.3,347.4,369.2,21.0
164,365.4,392.6,347.3,368.5,22.8
165,352.0,382.7,347.4,360.7,19.2
166,355.5,388.3,341.6,361.8,24.0
167,353.7,383.8,338.5,358.6,23.1
168,354.2,386.2,338.6,359.7,24.2
169,339.6,384.3,333.5,352.5,27.7
170,339.0,377.9,329.9,348.9,25.5
171,342.4,376.2,323.6,347.4,26.7
172,335.8,378.4,319.2,344.5,30.5
173,334.9,373.5,320.9,343.1,27.2
174,337.0,373.7,319.6,343.4,27.7
