Names,FRP_Panel_R1,FRP_Panel_R2,FRP_Panel_R3,FRP_Panel_R4,Mean,Std. Dev.
199,642.1,664.7,689.9,747.9,686.2,45.6
200,649.1,659.1,700.2,743.4,687.9,43.1
201,652.0,666.2,690.7,765.5,693.6,50.5
202,692.6,666.8,726.8,751.8,709.5,37.4
203,684.7,669.5,729.5,789.9,718.4,54.0
204,667.8,681.3,697.6,748.8,698.9,35.4
205,671.4,677.1,748.2,783.2,720.0,54.7
206,652.1,703.3,744.8,777.6,719.4,54.2
207,653.3,696.2,736.1,805.1,722.7,64.5
208,664.1,688.4,715.2,780.3,712.0,50.1
209,662.1,686.9,697.7,769.8,704.1,46.2
210,679.1,694.2,718.7,792.2,721.1,50.1
211,672.4,708.2,727.6,797.1,726.3,52.4
212,674.3,700.0,714.6,785.0,718.5,47.4
213,698.2,711.0,739.8,797.4,736.6,44.1
214,661.0,689.9,744.5,834.3,732.4,76.3
215,679.8,679.2,741.8,811.5,728.1,62.9
216,679.8,701.6,723.9,799.7,726.3,52.2
217,689.7,735.7,717.6,830.6,743.4,61.1
218,683.0,709.5,734.5,791.3,729.6,46.2
219,691.5,716.3,755.0,833.5,749.1,62.1
220,691.0,720.0,720.3,862.0,748.3,77.0
221,675.7,733.5,757.1,802.8,742.3,52.9
222,664.9,723.9,747.5,824.1,740.1,65.9
223,681.1,718.7,763.8,862.6,756.6,78.4
224,706.1,743.8,730.1,829.3,752.3,53.7
225,692.8,748.0,744.7,831.8,754.3,57.5
226,725.0,726.9,716.2,844.6,753.2,61.1
227,676.7,761.1,739.7,840.7,754.6,67.7
228,715.4,728.5,750.0,866.7,765.2,69.2
229,721.9,748.0,745.7,855.0,767.7,59.4
230,711.3,737.9,761.9,873.1,771.1,71.1
231,713.3,752.2,757.8,882.6,776.5,73.5
232,719.2,753.2,735.6,864.1,768.0,65.5
233,707.6,754.2,772.3,882.2,779.1,74.0
234,695.4,749.8,768.8,880.7,773.7,77.8
235,724.9,763.0,744.2,924.6,789.2,91.6
236,689.1,750.6,809.3,868.8,779.5,77.2
237,713.5,756.5,735.3,939.7,786.3,103.8
238,722.2,738.3,759.5,844.7,766.2,54.5
239,718.7,737.0,773.1,879.9,777.2,72.1
240,726.9,781.9,776.8,872.2,789.5,60.5
241,716.0,748.9,794.7,892.4,788.0,76.7
242,719.1,751.3,774.9,907.9,788.3,83.0
243,703.9,767.4,774.0,920.3,791.4,91.6
244,748.5,773.0,764.5,919.6,801.4,79.5
245,733.4,790.1,785.9,935.3,811.2,86.7
246,735.0,753.1,758.4,891.6,784.5,72.1
247,741.8,755.4,790.7,901.4,797.3,72.3
248,741.2,758.5,808.0,897.8,801.4,70.3
249,741.3,796.2,802.5,939.6,819.9,84.4
250,732.4,763.0,808.0,913.2,804.1,79.1
251,729.2,822.7,795.7,915.4,815.7,77.2
252,764.2,815.3,817.0,877.5,818.5,46.3
253,749.5,770.8,799.4,859.2,794.7,47.6
254,748.8,796.9,854.5,903.9,826.1,67.5
255,753.2,780.7,842.6,899.7,819.1,65.5
256,724.8,803.3,842.3,924.7,823.8,83.2
257,753.4,826.3,836.1,912.8,832.1,65.2
258,732.3,807.5,807.3,924.9,818.0,79.6
259,726.9,818.3,827.6,943.3,829.0,88.7
260,737.9,795.3,823.9,887.8,811.2,62.3
261,736.2,802.7,888.2,943.2,842.6,91.5
262,754.1,838.1,813.6,932.3,834.5,74.1
263,732.5,813.3,810.3,909.6,816.4,72.5
264,750.8,797.3,852.3,925.9,831.6,75.3
265,760.4,859.1,870.8,944.3,858.7,75.6
266,732.0,811.5,838.6,935.1,829.3,83.8
267,732.2,861.5,863.2,888.3,836.3,70.4
268,744.4,829.4,832.1,919.9,831.5,71.7
269,753.0,848.8,835.9,925.6,840.8,70.7
270,729.6,832.0,840.9,960.7,840.8,94.6
271,754.0,840.8,865.7,937.4,849.5,75.7
272,732.6,866.0,853.7,918.8,842.8,78.7
273,743.0,847.5,830.5,928.8,837.4,76.2
274,759.5,830.6,864.1,931.9,846.5,71.7
275,713.8,841.5,825.2,946.9,831.8,95.4
276,712.7,846.4,834.4,928.8,830.6,89.1
277,754.4,836.3,848.8,902.0,835.4,61.0
278,737.7,870.2,856.3,956.8,855.2,90.1
279,738.0,872.1,874.5,908.2,848.2,75.3
280,754.9,841.9,847.0,917.3,840.3,66.5
281,755.3,847.9,866.2,921.5,847.7,69.1
282,750.2,861.0,807.5,941.4,840.0,81.3
283,750.0,898.3,855.8,921.1,856.3,75.9
284,718.5,835.0,854.6,970.5,844.7,103.2
285,725.7,876.4,884.2,919.2,851.4,85.8
286,706.3,827.5,836.5,940.8,827.8,95.9
287,742.3,839.9,878.8,898.4,839.9,69.4
288,752.7,850.3,888.1,891.6,845.7,64.7
289,726.5,860.6,871.6,916.4,843.8,81.8
290,738.4,845.8,852.5,892.0,832.2,65.8
291,739.5,844.8,884.0,940.5,852.2,84.8
292,719.1,899.4,860.9,912.4,848.0,88.7
293,737.6,837.4,851.5,940.0,841.6,82.9
294,704.0,838.1,848.5,928.5,829.8,93.1
295,716.8,853.3,858.7,915.3,836.0,84.3
296,740.7,867.9,868.0,948.2,856.2,85.8
297,699.7,835.7,827.3,925.5,822.1,92.9
298,728.9,895.4,873.6,895.3,848.3,80.3
299,703.1,867.5,860.6,910.7,835.5,91.0
300,723.8,866.9,846.1,908.6,836.4,79.4
301,707.9,866.1,829.8,924.5,832.1,91.5
302,719.8,840.2,859.7,889.3,827.2,74.4
303,698.2,863.2,863.0,885.1,827.4,86.7
304,692.5,836.2,865.8,873.9,817.1,84.6
305,709.4,826.5,838.2,887.8,815.5,75.5
306,717.4,823.1,847.6,861.0,812.3,65.2
307,718.3,843.9,859.0,871.4,823.1,70.8
308,691.2,842.6,846.9,850.4,807.8,77.8
309,692.7,840.4,842.1,864.9,810.0,79.0
310,706.8,840.6,855.1,860.4,815.7,73.1
311,707.3,843.4,863.6,872.1,821.6,77.1
312,718.6,822.3,834.7,872.5,812.0,65.8
313,678.2,882.2,827.1,844.0,807.9,89.5
314,682.4,836.5,822.5,846.0,796.8,76.9
315,696.6,807.8,811.2,815.4,782.8,57.5
316,705.5,830.4,835.6,785.7,789.3,60.2
317,695.0,818.5,825.0,843.8,795.6,67.9
318,679.4,829.9,818.6,797.5,781.3,69.3
319,695.3,829.2,804.3,793.5,780.6,58.8
320,654.8,843.0,815.2,772.4,771.4,82.9
321,693.8,804.1,817.7,796.0,777.9,56.8
322,664.5,835.4,830.4,758.0,772.1,80.0
323,657.7,815.4,796.6,792.1,765.5,72.5
324,664.5,803.1,807.2,741.1,754.0,66.9
325,668.1,830.0,812.8,764.5,768.8,72.7
326,672.0,816.3,790.1,731.9,752.6,64.3
327,659.5,792.7,803.7,737.4,748.3,65.9
328,668.4,838.8,813.1,746.0,766.6,76.2
329,652.4,792.3,783.3,714.5,735.6,65.5
330,648.1,787.0,774.3,714.3,730.9,63.7
331,643.1,801.8,796.6,696.9,734.6,77.8
332,643.6,779.7,781.9,727.9,733.3,64.8
333,671.8,777.3,788.1,697.9,733.8,57.6
334,654.4,769.6,775.3,690.3,722.4,59.7
335,640.0,766.4,776.4,687.8,717.7,65.2
336,672.0,768.5,758.1,683.9,720.6,49.7
337,635.8,798.1,761.9,671.7,716.9,75.8
338,635.6,760.9,763.6,662.9,705.7,66.2
339,625.4,736.9,734.2,652.4,687.2,56.9
340,644.3,739.4,746.4,641.8,693.0,57.8
341,638.2,750.9,750.8,627.4,691.8,68.3
342,614.0,749.3,710.6,619.8,673.4,67.2
343,626.1,705.1,717.7,605.4,663.6,56.1
344,629.8,754.8,724.1,608.1,679.2,71.3
345,597.4,753.9,692.8,578.7,655.7,82.4
346,613.1,739.4,705.9,581.3,659.9,74.8
347,615.4,730.1,676.9,581.4,651.0,65.9
348,580.7,724.3,674.9,560.7,635.2,77.6
349,592.2,734.8,663.9,546.3,634.3,82.7
350,586.7,739.8,648.1,545.8,630.1,84.4
351,584.6,715.5,647.1,531.8,619.8,79.4
352,579.7,707.1,649.4,519.9,614.0,81.6
353,572.1,683.2,649.6,515.8,605.2,75.6
354,573.4,669.9,640.2,504.4,597.0,73.7
355,568.4,689.6,624.3,496.5,594.7,82.1
356,575.9,687.6,627.1,496.7,596.8,80.9
357,556.6,683.8,617.9,481.2,584.9,86.5
358,559.0,667.4,618.0,480.9,581.3,80.3
359,540.4,661.2,598.7,470.3,567.6,81.5
360,546.2,647.5,611.1,463.2,567.0,80.9
361,536.7,639.1,606.6,447.3,557.4,84.9
362,534.1,636.0,599.3,431.2,550.2,89.8
363,529.3,632.7,590.5,423.3,543.9,90.9
364,530.4,639.2,586.4,416.7,543.2,95.3
365,529.6,624.9,590.9,402.7,537.0,97.9
366,526.7,624.5,572.5,388.4,528.0,101.3
367,505.2,609.0,569.1,374.0,514.3,102.9
368,509.1,611.7,552.9,372.8,511.6,101.6
369,495.2,606.7,556.4,358.4,504.2,107.3
370,493.5,599.5,540.3,350.6,496.0,106.2
371,486.6,606.6,544.7,337.3,493.8,115.2
372,491.1,590.2,515.8,325.0,480.5,111.9
373,475.8,575.2,508.5,317.6,469.2,109.3
374,480.0,592.9,513.1,309.6,473.9,119.3
375,469.5,583.8,494.2,298.0,461.4,119.5
376,463.2,565.6,488.8,292.5,452.5,115.2
377,460.9,573.1,494.0,280.4,452.1,123.8
378,465.4,559.8,470.6,274.4,442.5,120.2
379,443.0,547.8,459.1,266.7,429.1,117.7
380,456.3,544.4,457.5,262.8,430.2,119.0
381,456.1,537.1,441.1,254.0,422.1,119.7
382,449.3,532.2,432.0,248.1,415.4,119.8
383,443.9,517.7,429.3,246.0,409.2,115.5
384,442.3,517.4,427.9,235.5,405.8,120.1
385,432.9,499.4,416.0,232.4,395.2,114.4
386,424.8,505.4,416.0,225.3,392.9,118.7
387,428.0,485.6,408.2,219.3,385.3,115.4
388,423.5,482.6,402.1,210.7,379.7,117.7
389,419.1,460.4,392.9,205.9,369.6,112.6
390,412.8,452.3,381.2,202.0,362.1,110.6
391,399.3,443.2,378.9,188.6,352.5,112.5
392,403.6,446.0,374.7,188.9,353.3,113.5
393,394.9,426.9,369.2,183.3,343.6,109.4
394,393.9,414.8,360.0,177.9,336.7,108.2
395,381.7,415.6,358.4,172.2,332.0,109.1
396,380.2,408.0,341.6,164.1,323.5,109.7
397,383.5,394.9,337.5,159.1,318.7,109.3
398,375.9,390.7,325.3,154.2,311.5,108.5
399,370.3,378.8,322.8,148.8,305.1,107.1
400,365.2,374.9,318.1,142.1,300.1,108.2
401,370.6,372.1,305.7,139.2,296.9,109.6
402,355.5,355.9,298.5,134.5,286.1,104.6
403,346.7,361.1,292.3,127.9,282.0,106.9
404,348.4,345.6,286.8,125.4,276.5,104.7
405,347.4,342.6,281.4,119.5,272.7,106.5
406,344.6,331.2,267.1,116.4,264.8,104.6
407,340.1,322.4,259.3,112.2,258.5,103.5
408,341.8,309.7,258.0,109.9,254.9,102.6
409,333.5,311.3,247.0,106.3,249.5,102.3
410,324.7,302.8,244.4,102.0,243.5,100.2
411,321.1,299.4,240.0,99.2,239.9,99.9
412,315.4,289.4,234.0,97.4,234.1,97.2
413,315.7,276.7,227.1,93.7,228.3,96.8
414,312.3,275.9,218.4,91.2,224.5,96.9
415,309.9,265.3,215.2,89.4,220.0,95.2
416,305.8,255.1,211.7,87.8,215.1,93.2
417,298.7,245.9,210.0,84.2,209.7,91.3
418,298.3,239.8,200.1,82.9,205.3,91.0
419,295.3,234.0,196.3,80.4,201.5,90.4
420,291.7,222.6,191.3,78.7,196.1,88.8
421,288.2,216.3,183.5,77.4,191.3,87.7
422,286.3,209.6,175.1,74.6,186.4,87.9
423,278.8,201.7,170.9,73.1,181.1,85.1
424,274.4,196.4,166.5,70.6,177.0,84.2
425,272.8,191.1,159.7,70.5,173.5,83.6
426,265.5,182.5,153.0,67.5,167.1,81.7
427,264.5,177.3,147.9,67.2,164.2,81.4
428,262.0,171.4,142.3,65.8,160.4,81.1
429,258.5,164.6,139.6,64.5,156.8,80.0
430,259.1,157.1,132.3,63.3,153.0,81.1
431,253.5,152.8,127.3,61.6,148.8,79.7
432,251.0,150.0,123.1,61.8,146.5,78.8
433,249.4,141.3,118.0,60.0,142.2,79.3
434,246.6,135.3,112.2,59.9,138.5,78.7
435,242.5,132.0,108.3,58.5,135.3,77.8
436,239.2,127.4,103.9,57.1,131.9,77.3
437,234.7,123.5,101.2,58.4,129.4,75.2
438,234.7,121.5,98.7,57.1,128.0,76.0
439,231.8,114.9,94.2,56.5,124.4,75.6
440,220.6,108.9,91.8,56.6,119.5,70.8
441,216.9,106.1,90.0,55.0,117.0,69.9
442,215.7,102.8,87.0,54.7,115.0,70.0
443,210.6,99.2,84.2,54.4,112.1,68.2
444,205.3,95.8,81.6,54.1,109.2,66.3
445,199.9,92.9,79.8,53.6,106.5,64.4
446,196.6,89.8,78.1,53.3,104.5,63.3
447,191.2,86.7,75.3,52.8,101.5,61.4
448,188.0,82.9,74.2,52.0,99.3,60.6
449,185.4,80.8,72.0,51.5,97.4,59.9
450,179.6,78.8,69.8,52.0,95.1,57.5
451,177.1,77.5,69.8,50.9,93.8,56.6
452,172.0,73.8,67.0,49.9,90.7,55.1
453,170.4,74.1,65.5,50.6,90.1,54.4
