Time after Ignition,FRP_Panel_R1,FRP_Panel_R2,FRP_Panel_R3,Mean,Std. Dev.
0.0,0.6,1.2,4.8,2.2,2.3
0.25,0.9,2.1,6.0,3.0,2.7
0.5,1.1,2.9,7.1,3.7,3.1
0.75,2.0,3.6,8.1,4.6,3.2
1.0,2.8,5.7,10.3,6.3,3.8
1.25,3.6,7.5,12.7,8.0,4.6
1.5,4.2,9.3,14.5,9.3,5.2
1.75,4.8,11.0,16.2,10.7,5.7
2.0,5.3,11.9,17.9,11.7,6.3
2.25,6.9,15.0,19.3,13.7,6.3
2.5,8.3,17.6,20.5,15.5,6.4
2.75,9.4,19.7,24.3,17.8,7.6
3.0,10.7,22.3,28.3,20.4,9.0
3.25,13.3,25.8,31.3,23.5,9.3
3.5,16.1,29.3,34.4,26.6,9.5
3.75,18.2,32.3,36.6,29.0,9.6
4.0,20.4,35.3,41.0,32.2,10.6
4.25,25.3,37.2,44.5,35.7,9.7
4.5,29.5,42.2,48.6,40.1,9.7
4.75,33.0,46.5,51.2,43.6,9.4
5.0,36.7,50.7,57.4,48.3,10.5
5.25,42.8,53.0,62.7,52.9,10.0
5.5,47.8,55.9,67.8,57.2,10.1
5.75,53.1,62.1,72.7,62.7,9.8
6.0,58.1,67.0,75.5,66.9,8.7
6.25,64.3,71.3,83.0,72.9,9.4
6.5,68.9,75.1,89.7,77.9,10.7
6.75,74.5,79.7,94.2,82.8,10.2
7.0,78.5,82.1,100.7,87.1,11.9
7.25,83.6,88.9,106.5,93.0,12.0
7.5,90.3,93.6,109.1,97.7,10.1
7.75,94.4,99.0,118.1,103.8,12.6
8.0,99.0,102.8,124.9,108.9,14.0
8.25,104.0,110.1,128.6,114.2,12.8
8.5,108.7,118.4,137.9,121.7,14.8
8.75,112.5,121.5,145.8,126.6,17.2
9.0,120.0,127.0,154.3,133.8,18.1
9.25,125.3,132.8,160.7,139.6,18.6
9.5,130.1,138.1,167.6,145.3,19.7
9.75,135.5,145.3,178.9,153.2,22.8
10.0,147.5,151.1,189.5,162.7,23.3
10.25,145.4,160.3,195.3,167.0,25.6
10.5,150.9,169.3,203.3,174.5,26.5
10.75,157.3,175.8,218.0,183.7,31.1
11.0,159.7,183.3,220.4,187.8,30.6
11.25,168.8,190.4,238.5,199.2,35.7
11.5,180.9,197.6,238.9,205.8,29.9
11.75,184.1,200.7,254.4,213.1,36.7
12.0,188.8,213.7,258.7,220.4,35.4
12.25,196.2,219.9,267.4,227.8,36.3
12.5,206.9,223.2,280.4,236.9,38.6
12.75,216.5,233.1,280.6,243.4,33.3
13.0,221.7,246.2,292.0,253.3,35.7
13.25,235.1,253.4,306.9,265.1,37.3
13.5,245.3,260.4,310.0,271.9,33.8
13.75,251.4,272.2,314.8,279.5,32.3
14.0,263.3,276.8,329.5,289.8,35.0
14.25,272.4,290.9,332.9,298.7,31.0
14.5,279.6,295.3,339.6,304.8,31.1
14.75,284.9,298.4,344.8,309.4,31.5
15.0,292.0,321.3,355.2,322.8,31.7
15.25,303.9,332.3,368.5,334.9,32.4
15.5,310.8,343.1,374.2,342.7,31.7
15.75,322.7,355.7,389.5,355.9,33.4
16.0,332.2,353.7,378.8,354.9,23.4
16.25,336.7,368.2,396.0,367.0,29.7
16.5,348.8,392.3,427.5,389.5,39.4
16.75,353.3,399.2,417.7,390.1,33.2
17.0,357.3,416.8,426.3,400.1,37.4
17.25,364.4,430.4,434.6,409.8,39.4
17.5,372.2,437.0,459.5,422.9,45.3
