##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg)
49.94,10.00917,0.00439,0.000695778
50.04,10.39505,0.005120801,0.006626023
50.14,10.50099,0.004798507,0.01279352
50.24,10.57189,0.005765618,0.01754491
50.34,10.62858,0.005591939,0.02231378
50.44,10.67598,0.004507703,0.02768821
50.54,10.71756,0.004694137,0.03074741
50.64,10.75589,0.004817164,0.03636399
50.74,10.79038,0.004817732,0.04060045
50.84,10.82247,0.004977806,0.04366501
50.94,10.85243,0.004767118,0.04807256
51.04,10.88141,0.005907942,0.05150615
51.14,10.90857,0.006220664,0.05665766
51.24,10.93454,0.004653937,0.06014168
51.34,10.95909,0.004725358,0.06351928
51.44,10.98255,0.004915274,0.06868302
51.54,11.00558,0.00523753,0.06998474
51.64,11.02757,0.005198247,0.07326955
51.74,11.04905,0.005146793,0.07902493
51.84,11.06984,0.00620895,0.07852459
51.94,11.08988,0.006773196,0.08322187
52.04,11.10963,0.006674948,0.08578243
52.14,11.12892,0.006571334,0.0877443
52.24,11.14775,0.00508006,0.09114523
52.34,11.16623,0.004777583,0.09376584
52.44,11.18462,0.004023022,0.09595397
52.54,11.20253,0.00457705,0.09888476
52.64,11.22006,0.00495191,0.09861571
52.74,11.23742,0.004735564,0.10354
52.84,11.25446,0.006236676,0.10572
52.94,11.27115,0.004911799,0.10942
53.04,11.28788,0.005813526,0.11164
53.14,11.30372,0.004699063,0.11412
53.24,11.31961,0.003745082,0.11575
53.34,11.33543,0.004034914,0.11725
53.44,11.35107,0.00361119,0.1212
53.54,11.36686,0.003293287,0.12221
53.64,11.38222,0.004202172,0.12646
53.74,11.39728,0.003853191,0.12392
53.84,11.41242,0.005181082,0.12694
53.94,11.42742,0.005126559,0.13132
54.04,11.44229,0.005216195,0.1316
54.14,11.457,0.004263323,0.13484
54.24,11.47141,0.00449207,0.13692
54.34,11.48582,0.004357157,0.13803
54.44,11.50014,0.00354226,0.13909
54.54,11.51463,0.004414479,0.13989
54.64,11.5289,0.00403529,0.14216
54.74,11.5428,0.005524808,0.14655
54.84,11.55672,0.005339345,0.14766
54.94,11.57034,0.005484309,0.1482
55.04,11.58403,0.005449297,0.15116
55.14,11.59765,0.004038642,0.15199
55.24,11.61122,0.004797287,0.15156
55.34,11.62452,0.004235716,0.15573
55.44,11.63773,0.003561975,0.15518
55.54,11.65099,0.004000847,0.15887
55.64,11.66412,0.003835401,0.15947
55.74,11.67731,0.003592566,0.1631
55.84,11.6904,0.003607929,0.16148
55.94,11.70336,0.00361194,0.16593
56.04,11.71617,0.00363395,0.16747
56.14,11.72904,0.003616339,0.16802
56.24,11.7418,0.00406249,0.16923
56.34,11.75465,0.003738455,0.17161
56.44,11.76738,0.004405752,0.17076
56.54,11.78012,0.004212041,0.17209
56.64,11.79262,0.003942496,0.17442
56.74,11.80517,0.005007189,0.17512
56.84,11.81765,0.004159911,0.17524
56.94,11.83009,0.004822281,0.17662
57.04,11.84252,0.005532142,0.1797
57.14,11.85484,0.004250541,0.17925
57.24,11.86706,0.004796854,0.18041
57.34,11.87931,0.005365442,0.17947
57.44,11.89156,0.004518872,0.18208
57.54,11.90372,0.003969755,0.18318
57.64,11.91591,0.004347678,0.18288
57.74,11.92814,0.003982932,0.18816
57.84,11.94022,0.00396291,0.18845
57.94,11.95232,0.003731465,0.18745
58.04,11.96431,0.00335512,0.18924
58.14,11.97631,0.003878859,0.18804
58.24,11.98824,0.003958997,0.19024
58.34,12.00024,0.003586335,0.19167
58.44,12.0122,0.003720685,0.19364
58.54,12.024,0.003974685,0.19379
58.64,12.03584,0.003969726,0.19484
58.74,12.04764,0.003885038,0.19575
58.84,12.05937,0.004945539,0.19568
58.94,12.07119,0.004742797,0.19741
59.04,12.08292,0.003841388,0.19865
59.14,12.09457,0.003951877,0.19926
59.24,12.10635,0.003978252,0.19953
59.34,12.1179,0.003619028,0.20157
59.44,12.12955,0.003958076,0.20214
