##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg),Integral(DSC (subtr.2), 2, 199.3..406.4°C)/%,DTG(subtr.)/(mg/min),Sensit./(uV/mW)
57.399,11.933530000000001,-0.02992821,0.20920999999999998,            ,-0.02288047,1.07115,,
57.499,11.94566,-0.02957996,0.20722,            ,-0.0198177,1.0710899999999999,,
57.599,11.95779,-0.02994283,0.20906,            ,-0.01963237,1.07104,,
57.699,11.96985,-0.03006185,0.20879,            ,-0.02046598,1.0709899999999999,,
57.799,11.981869999999999,-0.03061375,0.21106999999999998,            ,-0.01911516,1.07094,,
57.899,11.99392,-0.03107119,0.21055,            ,-0.01579251,1.07089,,
57.999,12.00587,-0.03022109,0.21199,            ,-0.009893981999999999,1.07083,,
58.099,12.01789,-0.03167249,0.21448000000000003,            ,-0.0016339870000000002,1.0707799999999998,,
58.199,12.02985,-0.0311649,0.21253000000000002,            ,0.006153144,1.07073,,
58.299,12.04182,-0.03046565,0.21594000000000002,            ,0.009922783000000001,1.0706799999999999,,
58.399,12.05364,-0.03052041,0.21616999999999997,            ,0.007575489,1.07063,,
58.499,12.06559,-0.03045407,0.21605,            ,0.0029136870000000003,1.07057,,
58.599,12.07745,-0.03078929,0.21811,            ,-0.0009689281,1.0705200000000001,,
58.699,12.0892,-0.03052389,0.219,            ,-0.0054253190000000005,1.07047,,
58.799,12.10094,-0.03050409,0.22064,            ,-0.01150474,1.0704200000000001,,
58.899,12.11282,-0.03052284,0.21946,            ,-0.0156289,1.07037,,
58.999,12.12465,-0.03130094,0.2209,            ,-0.01149041,1.07031,,
59.099,12.13635,-0.03193272,0.22155999999999998,            ,0.001472924,1.07026,,
59.199,12.14805,-0.03130065,0.22309,            ,0.01678172,1.07021,,
59.299,12.15968,-0.03050173,0.22336,            ,0.0274922,1.07016,,
59.399,12.1713,-0.03052226,0.22498,            ,0.03039214,1.0701100000000001,,
59.499,12.18268,-0.03027201,0.22641999999999998,            ,0.02528294,1.07005,,
59.599,12.19403,-0.02929859,0.22834000000000002,            ,0.01349414,1.07,,
59.699,12.20549,-0.02907793,0.22857,            ,-0.0002275305,1.06995,,
59.799,12.21706,-0.02988213,0.22971999999999998,            ,-0.007864215,1.0699,,
59.899,12.228589999999999,-0.03047691,0.22855,            ,-0.00582327,1.06985,,
59.999,12.24003,-0.03049823,0.2291,            ,-0.001480815,1.06979,,
60.099,12.25137,-0.02938493,0.22946,            ,-0.004015047,1.06974,,
60.199,12.26281,-0.0293901,0.22983,            ,-0.01494621,1.06969,,
60.299,12.2742,-0.03046676,0.23193000000000003,            ,-0.02807603,1.06964,,
60.399,12.2856,-0.03058239,0.23283,            ,-0.03561526,1.06959,,
60.499,12.29694,-0.03098537,0.23278000000000001,            ,-0.03393069,1.0695299999999999,,
60.599,12.30834,-0.03204425,0.23368000000000003,            ,-0.02477463,1.06948,,
60.699,12.31966,-0.03214593,0.23567,            ,-0.0142054,1.0694299999999999,,
60.799,12.33083,-0.03174141,0.23518000000000003,            ,-0.008690286,1.06938,,
60.899,12.34211,-0.03127348,0.23590999999999998,            ,-0.01057113,1.06933,,
60.999,12.353489999999999,-0.03226208,0.23510999999999999,            ,-0.01704139,1.0692700000000002,,
61.099,12.36485,-0.03210872,0.23601,            ,-0.02210516,1.06922,,
61.199,12.37607,-0.03221963,0.23733,            ,-0.02056865,1.0691700000000002,,
61.299,12.38746,-0.03342991,0.23684000000000002,            ,-0.0124026,1.06912,,
61.399,12.39894,-0.0334453,0.23973000000000003,            ,-0.002891211,1.06907,,
61.499,12.41038,-0.03222231,0.23784,            ,0.002559009,1.06902,,
61.599,12.421660000000001,-0.03240086,0.23839000000000002,            ,0.002867382,1.0689600000000001,,
61.699,12.43285,-0.03331906,0.23972,            ,0.000155815,1.06891,,
61.799,12.44399,-0.0327278,0.24164000000000002,            ,-0.004138480999999999,1.0688600000000001,,
61.899,12.45527,-0.03225865,0.24151999999999998,            ,-0.009436945,1.06881,,
61.999,12.46654,-0.03274902,0.24231999999999998,            ,-0.01216183,1.06876,,
62.099,12.477739999999999,-0.0335824,0.24220999999999998,            ,-0.007131069,1.0687,,
62.199,12.48895,-0.03369391,0.24291,            ,0.004755736,1.06865,,
62.299,12.50015,-0.03333743,0.24223000000000003,            ,0.01603146,1.0686,,
62.399,12.51126,-0.03231276,0.245,            ,0.02085018,1.06855,,
62.499,12.52237,-0.03239474,0.24555,            ,0.02033628,1.0685,,
62.599,12.53348,-0.03235362,0.24522,            ,0.01997434,1.06844,,
62.699,12.5447,-0.03241784,0.24673,            ,0.02257983,1.06839,,
62.799,12.55579,-0.03205002,0.24821999999999997,            ,0.0249897,1.06834,,
62.899,12.56675,-0.03119737,0.2471,            ,0.02254008,1.06829,,
62.999,12.57788,-0.03103049,0.24781,            ,0.01336758,1.0682399999999999,,
63.099,12.58902,-0.03104919,0.24631999999999998,            ,-0.0006959163000000001,1.06818,,
63.199,12.60016,-0.03104771,0.24748,            ,-0.01513498,1.06813,,
63.299,12.61125,-0.03113217,0.24941,            ,-0.02549996,1.06808,,
63.399,12.62232,-0.03220979,0.24894000000000002,            ,-0.03009643,1.06803,,
63.499,12.63332,-0.0324892,0.25001,            ,-0.03057777,1.06798,,
63.599,12.64447,-0.03245967,0.25006,            ,-0.02995458,1.06792,,
63.699,12.65542,-0.03254735,0.25074,            ,-0.0285443,1.06787,,
63.799,12.666360000000001,-0.03347719,0.25347,            ,-0.02354151,1.06782,,
63.899,12.67733,-0.03384556,0.25256999999999996,            ,-0.01248526,1.06777,,
63.999,12.68834,-0.03377184,0.2526,            ,0.002947794,1.06772,,
64.099,12.69933,-0.03380899,0.25383,            ,0.01662478,1.06766,,
64.199,12.71033,-0.03310234,0.2548,            ,0.02309926,1.06761,,
64.299,12.72143,-0.03243617,0.25419,            ,0.02183786,1.06756,,
64.399,12.73248,-0.03248196,0.25561999999999996,            ,0.01680264,1.06751,,
64.499,12.74333,-0.0324709,0.25878,            ,0.01396515,1.06746,,
64.599,12.75419,-0.03244964,0.25748000000000004,            ,0.01646605,1.06741,,
64.699,12.76521,-0.03256202,0.25689,            ,0.02181019,1.06735,,
64.799,12.77623,-0.03187523,0.2579,            ,0.02460935,1.0673,,
64.899,12.78715,-0.03118146,0.25881,            ,0.02117632,1.06725,,
64.999,12.79804,-0.03115898,0.25905,            ,0.01142388,1.0672,,
65.099,12.80902,-0.03115697,0.25983,            ,-0.001992844,1.06715,,
65.199,12.81995,-0.03116071,0.25951,            ,-0.01431694,1.0670899999999999,,
65.299,12.830860000000001,-0.03121609,0.26071,            ,-0.02087457,1.06704,,
65.399,12.8418,-0.03227997,0.2608,            ,-0.01824109,1.0669899999999999,,
65.499,12.8527,-0.032461,0.25937,            ,-0.006487412,1.06694,,
65.599,12.863710000000001,-0.03254012,0.26236,            ,0.008864939,1.06689,,
65.699,12.87481,-0.0320328,0.26238,            ,0.01967791,1.06683,,
65.799,12.88573,-0.0311954,0.26116,            ,0.02156456,1.0667799999999998,,
65.899,12.89659,-0.03114563,0.26177,            ,0.01667632,1.06673,,
65.999,12.90746,-0.03115132,0.26594,            ,0.01048606,1.0666799999999999,,
66.099,12.91823,-0.03114841,0.2645,            ,0.008099992,1.06663,,
66.199,12.92907,-0.03115336,0.26428,            ,0.01134537,1.0665799999999999,,
66.299,12.93983,-0.03114739,0.26478,            ,0.0180735,1.0665200000000001,,
66.399,12.9509,-0.03109181,0.2642,            ,0.02385157,1.06647,,
66.499,12.9619,-0.03002372,0.26558000000000004,            ,0.02388791,1.0664200000000001,,
66.599,12.97269,-0.0298254,0.2642,            ,0.0169943,1.06637,,
66.699,12.98356,-0.02982668,0.26669,            ,0.0049305009999999995,1.0663200000000002,,
66.799,12.99441,-0.0298516,0.26646,            ,-0.00873686,1.06626,,
66.899,13.00533,-0.02973819,0.26745,            ,-0.02035119,1.06621,,
66.999,13.016169999999999,-0.03042357,0.26758000000000004,            ,-0.02769835,1.06616,,
67.099,13.02685,-0.03112052,0.26941,            ,-0.03206344,1.0661100000000001,,
67.199,13.03763,-0.03116529,0.27179000000000003,            ,-0.03782808,1.06606,,
67.299,13.04854,-0.0311157,0.27119,            ,-0.04947505,1.066,,
67.399,13.059339999999999,-0.03175472,0.27157,            ,-0.06703778,1.06595,,
67.499,13.070089999999999,-0.03258611,0.27199,            ,-0.08404874,1.0659,,
67.599,13.08103,-0.03377246,0.27157,            ,-0.09233595,1.06585,,
67.699,13.09178,-0.03580011,0.27151,            ,-0.08656588,1.0658,,
67.799,13.102689999999999,-0.03624794,0.27351,            ,-0.06720036,1.06575,,
67.899,13.113520000000001,-0.03732275,0.27431,            ,-0.03934285,1.06569,,
67.999,13.124429999999998,-0.03715616,0.27426999999999996,            ,-0.00853991,1.06564,,
68.099,13.13526,-0.03719272,0.27605999999999997,            ,0.02007602,1.06559,,
68.199,13.146120000000002,-0.03713587,0.27538,            ,0.04134746,1.06554,,
68.299,13.15691,-0.03571941,0.27695,            ,0.05122363,1.06549,,
68.399,13.1676,-0.03460786,0.27698,            ,0.05062365,1.0654299999999999,,
68.499,13.17839,-0.03453278,0.27743,            ,0.04422049,1.06538,,
68.599,13.18922,-0.0345711,0.27643,            ,0.03711098,1.0653299999999999,,
68.699,13.19995,-0.0339038,0.27959,            ,0.03152964,1.06528,,
68.799,13.21067,-0.03322196,0.27438,            ,0.02687431,1.06523,,
68.899,13.221429999999998,-0.03324839,0.27781,            ,0.02342855,1.06518,,
68.999,13.232220000000002,-0.03324047,0.27891,            ,0.02201842,1.06512,,
69.099,13.243089999999999,-0.03321229,0.27981,            ,0.02027505,1.0650700000000002,,
69.199,13.253779999999999,-0.0325311,0.2791,            ,0.01398397,1.06502,,
69.299,13.264439999999999,-0.03178102,0.28241,            ,0.002334873,1.06497,,
69.399,13.275139999999999,-0.03221652,0.28028000000000003,            ,-0.01053849,1.06492,,
69.499,13.28576,-0.03302346,0.28081,            ,-0.01933468,1.0648600000000001,,
69.599,13.296370000000001,-0.03327522,0.28345,            ,-0.02255357,1.06481,,
69.699,13.30701,-0.03324444,0.28419,            ,-0.02260527,1.06476,,
69.799,13.31766,-0.03319752,0.28393,            ,-0.02089235,1.06471,,
69.899,13.32824,-0.03375041,0.28336999999999996,            ,-0.01599267,1.06466,,
69.999,13.3389,-0.03451976,0.28479,            ,-0.007314605,1.06461,,
70.099,13.34958,-0.03424935,0.2844,            ,0.002225314,1.06455,,
70.199,13.36019,-0.03355386,0.28421,            ,0.008258600999999999,1.0645,,
