Time after Ignition,High_Temperature_SCBA_Facepiece_R1,Mean,Std. Dev.
0.0,10.9,10.9,
0.25,13.8,13.8,
0.5,16.1,16.1,
0.75,19.1,19.1,
1.0,21.1,21.1,
1.25,26.2,26.2,
1.5,31.2,31.2,
1.75,34.8,34.8,
2.0,38.9,38.9,
2.25,41.9,41.9,
2.5,49.3,49.3,
2.75,55.3,55.3,
3.0,60.6,60.6,
3.25,66.7,66.7,
3.5,76.5,76.5,
3.75,85.5,85.5,
4.0,92.5,92.5,
4.25,101.3,101.3,
4.5,106.9,106.9,
4.75,117.8,117.8,
5.0,128.0,128.0,
5.25,139.0,139.0,
5.5,145.4,145.4,
5.75,155.0,155.0,
6.0,168.6,168.6,
6.25,182.9,182.9,
6.5,191.2,191.2,
6.75,201.1,201.1,
7.0,208.7,208.7,
7.25,218.0,218.0,
7.5,233.1,233.1,
7.75,241.1,241.1,
8.0,254.7,254.7,
8.25,261.1,261.1,
8.5,279.8,279.8,
8.75,287.6,287.6,
9.0,291.3,291.3,
9.25,304.1,304.1,
9.5,314.2,314.2,
9.75,318.7,318.7,
10.0,311.5,311.5,
10.25,327.1,327.1,
10.5,330.2,330.2,
10.75,342.8,342.8,
11.0,337.7,337.7,
11.25,324.8,324.8,
11.5,355.8,355.8,
11.75,372.2,372.2,
12.0,380.5,380.5,
12.25,370.0,370.0,
12.5,367.7,367.7,
12.75,356.1,356.1,
13.0,351.2,351.2,
13.25,345.4,345.4,
13.5,329.4,329.4,
13.75,315.7,315.7,
14.0,310.3,310.3,
14.25,299.4,299.4,
14.5,290.0,290.0,
14.75,282.0,282.0,
15.0,266.0,266.0,
15.25,254.4,254.4,
15.5,244.6,244.6,
15.75,231.7,231.7,
16.0,219.2,219.2,
16.25,203.9,203.9,
16.5,191.1,191.1,
16.75,183.8,183.8,
17.0,173.8,173.8,
17.25,157.7,157.7,
