Time after Ignition,High_Temperature_SCBA_Facepiece_R1,Mean,Std. Dev.
0.0,16.2,16.2,
0.25,17.0,17.0,
0.5,18.1,18.1,
0.75,19.3,19.3,
1.0,19.9,19.9,
1.25,21.8,21.8,
1.5,24.1,24.1,
1.75,25.8,25.8,
2.0,27.2,27.2,
2.25,28.9,28.9,
2.5,31.4,31.4,
2.75,34.8,34.8,
3.0,36.5,36.5,
3.25,39.0,39.0,
3.5,43.1,43.1,
3.75,48.6,48.6,
4.0,52.4,52.4,
4.25,56.1,56.1,
4.5,63.6,63.6,
4.75,68.1,68.1,
5.0,72.7,72.7,
5.25,78.3,78.3,
5.5,85.0,85.0,
5.75,92.8,92.8,
6.0,98.3,98.3,
6.25,101.8,101.8,
6.5,107.7,107.7,
6.75,114.3,114.3,
7.0,121.9,121.9,
7.25,129.7,129.7,
7.5,132.0,132.0,
7.75,134.6,134.6,
8.0,141.3,141.3,
8.25,144.6,144.6,
8.5,146.9,146.9,
8.75,150.9,150.9,
9.0,153.5,153.5,
9.25,158.8,158.8,
9.5,159.3,159.3,
9.75,164.2,164.2,
10.0,163.3,163.3,
10.25,165.0,165.0,
10.5,164.5,164.5,
10.75,164.7,164.7,
11.0,166.4,166.4,
11.25,167.6,167.6,
11.5,167.0,167.0,
11.75,164.6,164.6,
12.0,161.6,161.6,
12.25,153.8,153.8,
12.5,147.9,147.9,
12.75,144.9,144.9,
13.0,139.5,139.5,
13.25,135.9,135.9,
13.5,131.5,131.5,
13.75,126.1,126.1,
14.0,120.8,120.8,
14.25,115.9,115.9,
14.5,114.6,114.6,
14.75,109.3,109.3,
15.0,103.4,103.4,
15.25,100.7,100.7,
15.5,95.6,95.6,
15.75,90.9,90.9,
16.0,86.7,86.7,
16.25,81.1,81.1,
16.5,76.5,76.5,
16.75,71.7,71.7,
17.0,67.8,67.8,
17.25,63.2,63.2,
17.5,59.9,59.9,
17.75,55.1,55.1,
18.0,51.1,51.1,
18.25,48.1,48.1,
18.5,44.2,44.2,
18.75,41.8,41.8,
19.0,38.5,38.5,
19.25,35.8,35.8,
19.5,33.4,33.4,
