,Surface Area (mm^2),Pretest,Posttest
HF15-noSpark_R1,10000.00,no spark ignitor. end test at MLR less than 2.5 g/m^2/s or 20 min,MLR did not exceed 1.0 g/min
HF15-noSpark_R2,10000.00,no spark ignitor. end test at 20 min, 
HF15-noSpark_R3,10000.00,no spark ignitor. end test at 20 min, 
HF25_R1,9835.59,Dimensions: 98.88 x 99.47 x 2.72 mm, 
HF25_R2,9852.41,Dimensions: 98.89 x 99.63 x 2.77 mm, 
HF25_R3,9848.55,Dimensions: 99.06 x 99.42 x 2.82 mm, 
HF50_R1,8836.00,no retainer frame or grid, 
HF50_R2,8836.00,no retainer frame or grid, 
HF50_R3,8836.00,no retainer frame or grid, 
HF75_R1,9826.74,Dimensions: 99.00 x 99.26 x 2.74 mm, 
HF75_R2,9678.12,Dimensions: 99.09 x 97.67 x 2.85 mm , 
HF75_R3,9797.98,Dimensions: 98.75 x 99.22 x 2.80 mm, 
