LABORATORY,FSRI 
TEST IDENT,PMMA_HF75_3
OPERATOR,Dow
MATERIAL,PMMA
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,-89.32998657226562
SPECIMEN MASS,33
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,968
TIME TO IGN,16
END OF TEST SCAN,488
END OF TEST TIME,122
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.75 x 99.22 x 2.80 mm
