Time after Ignition,PMMA_R1,PMMA_R2,PMMA_R3,Mean,Std. Dev.
0.0,25.9,11.0,8.9,15.3,9.3
0.25,28.6,14.4,12.0,18.4,9.0
0.5,32.2,17.8,14.7,21.5,9.3
0.75,33.9,20.5,17.5,24.0,8.7
1.0,40.6,26.4,24.0,30.3,9.0
1.25,46.2,32.8,29.9,36.3,8.7
1.5,50.2,38.4,35.4,41.3,7.8
1.75,54.7,42.1,40.0,45.6,7.9
2.0,58.2,51.2,50.9,53.4,4.2
2.25,65.6,61.9,60.2,62.5,2.7
2.5,74.1,67.1,69.6,70.3,3.5
2.75,79.5,75.8,75.7,77.0,2.2
3.0,84.5,87.3,87.4,86.4,1.6
3.25,92.7,95.1,98.5,95.4,2.9
3.5,101.9,104.5,104.7,103.7,1.5
3.75,112.5,112.6,115.3,113.4,1.6
4.0,118.3,120.0,125.0,121.1,3.4
4.25,123.1,129.8,137.5,130.1,7.2
4.5,128.0,140.6,145.9,138.2,9.2
4.75,140.2,150.5,152.0,147.6,6.4
5.0,149.9,157.5,163.7,157.0,6.9
5.25,166.2,163.2,169.3,166.2,3.0
5.5,168.7,173.2,178.1,173.3,4.7
5.75,173.8,178.8,186.0,179.6,6.1
6.0,187.5,192.0,194.1,191.2,3.3
6.25,195.1,195.6,199.1,196.6,2.2
6.5,202.4,200.8,207.9,203.7,3.7
6.75,216.3,212.4,214.8,214.5,2.0
7.0,218.7,215.9,226.2,220.3,5.3
7.25,228.6,223.4,232.9,228.3,4.7
7.5,238.6,231.5,242.5,237.5,5.6
7.75,238.1,239.1,242.2,239.8,2.1
8.0,251.5,253.1,254.0,252.9,1.3
8.25,260.7,257.6,258.0,258.8,1.7
8.5,261.2,259.7,266.6,262.5,3.7
8.75,276.3,266.0,271.7,271.4,5.1
9.0,272.5,281.8,272.4,275.6,5.4
9.25,286.4,280.7,286.3,284.5,3.2
9.5,288.7,290.1,281.2,286.6,4.8
9.75,295.6,306.3,299.8,300.6,5.4
10.0,303.2,315.2,306.3,308.2,6.2
10.25,308.3,313.7,308.5,310.2,3.1
10.5,321.3,325.0,313.5,319.9,5.8
10.75,339.3,325.9,322.1,329.1,9.0
11.0,344.7,334.0,329.9,336.2,7.6
11.25,341.3,344.2,343.9,343.2,1.6
11.5,345.6,355.9,342.0,347.8,7.2
11.75,357.7,358.6,353.2,356.5,2.9
12.0,363.5,365.6,356.2,361.8,4.9
12.25,380.1,352.3,363.3,365.2,14.0
12.5,379.8,375.9,379.6,378.4,2.2
12.75,394.2,368.5,370.4,377.7,14.3
13.0,405.3,373.9,374.2,384.5,18.1
