Names,PMMA_R1,PMMA_R2,PMMA_R3,Mean,Std. Dev.
403,22.7,126.7,72.2,73.9,52.0
404,25.7,132.8,76.9,78.5,53.6
405,28.2,141.7,82.7,84.2,56.8
406,30.9,149.1,87.0,89.0,59.1
407,35.4,152.2,90.3,92.6,58.4
408,39.7,158.2,93.9,97.3,59.3
409,43.4,166.6,102.9,104.3,61.6
410,46.5,170.8,107.8,108.4,62.1
411,51.6,175.3,114.5,113.8,61.9
412,56.9,179.9,119.8,118.8,61.5
413,61.0,189.7,124.4,125.0,64.3
414,64.3,190.5,131.4,128.8,63.1
415,67.3,193.1,135.0,131.8,63.0
416,74.8,198.4,142.7,138.7,61.9
417,80.0,203.2,150.0,144.4,61.8
418,84.6,210.2,156.2,150.3,63.0
419,90.3,211.4,163.5,155.1,61.0
420,94.3,217.3,169.9,160.5,62.0
421,96.0,215.0,176.8,162.6,60.7
422,102.3,222.6,184.8,169.9,61.5
423,106.1,224.3,194.1,174.8,61.4
424,111.5,225.3,199.8,178.8,59.7
425,117.2,233.7,206.3,185.7,60.9
426,119.5,239.3,211.5,190.1,62.7
427,123.0,235.1,226.4,194.8,62.4
428,131.7,239.8,227.7,199.7,59.2
429,134.7,246.6,233.1,204.8,61.1
430,141.0,253.3,232.3,208.8,59.7
431,143.0,255.8,246.8,215.2,62.7
432,150.9,256.3,254.7,220.6,60.4
433,156.5,261.7,258.8,225.7,59.9
434,164.7,260.7,262.5,229.3,55.9
435,165.4,273.3,261.1,233.2,59.1
436,177.9,279.1,269.2,242.1,55.8
437,186.2,276.3,277.4,246.6,52.3
438,189.9,282.6,280.1,250.9,52.8
439,192.6,291.5,272.7,252.3,52.5
440,204.0,293.6,283.3,260.3,49.0
441,208.1,300.3,294.9,267.8,51.7
442,217.3,302.5,295.0,271.6,47.2
443,222.3,310.7,294.5,275.8,47.1
444,228.8,301.3,303.3,277.8,42.5
445,228.8,313.0,304.3,282.0,46.3
446,237.2,323.0,322.7,294.3,49.5
447,243.2,324.6,324.2,297.4,46.9
448,249.3,321.6,324.3,298.4,42.6
449,250.9,330.2,319.9,300.3,43.1
450,259.8,329.7,329.9,306.4,40.4
451,268.3,331.6,337.0,312.3,38.2
452,264.2,338.5,340.9,314.5,43.6
453,268.1,344.0,344.2,318.8,43.9
454,275.3,341.7,348.8,321.9,40.5
455,284.8,342.8,345.0,324.2,34.1
456,285.5,350.1,345.8,327.1,36.1
457,287.0,351.7,358.1,332.3,39.3
458,296.0,352.2,352.3,333.5,32.5
459,299.1,362.5,375.6,345.7,40.9
460,299.9,359.7,362.6,340.7,35.4
461,309.9,361.0,371.8,347.6,33.1
462,303.2,362.6,367.7,344.5,35.8
463,310.8,371.5,374.1,352.1,35.8
464,321.3,371.2,373.1,355.2,29.4
465,328.0,364.6,371.3,354.6,23.3
466,319.5,365.3,373.9,352.9,29.3
467,332.1,379.6,385.7,365.8,29.4
468,338.2,386.1,384.9,369.7,27.3
469,340.9,388.7,392.0,373.9,28.6
470,346.3,388.4,395.2,376.6,26.5
471,339.2,377.6,388.4,368.4,25.9
472,351.6,387.4,393.4,377.5,22.6
473,351.1,395.4,394.8,380.4,25.4
474,345.4,388.4,415.6,383.1,35.4
475,356.0,387.4,418.1,387.2,31.1
476,367.7,405.5,422.4,398.5,28.0
477,357.1,397.7,419.7,391.5,31.8
