#EXPORTTYPE,DATA ALL
#FILE,Polyester_batting_test_3K.ngb-ds3
#FORMAT,NETZSCH5
#FTYPE,ANSI
#IDENTITY,PET_Batting_30K
#DECIMAL,POINT
#SEPARATOR,SEMICOLON
#MTYPE,DSC
#INSTRUMENT,NETZSCH STA 449F3
#PROJECT,
#DATE/TIME,15.02.2021 12
#CORR. FILE,Correction_3K (11 Feb).ngb-bs3
#TEMPCAL,29-01-2021 10
#SENSITIVITY,29-01-2021 10
#LABORATORY,
#OPERATOR,
#REMARK,236.68 mg crucible mass  Sample melted prior to test (275 C for 5 minutes)
#SAMPLE,PET_Batting_30K
#SAMPLE MASS /mg,4.81
#MATERIAL,
#REFERENCE,
#REFERENCE MASS /mg,0
#TYPE OF CRUCIBLE,"PtRh20 0.19 ml, with lid"
#SAMPLE CRUCIBLE MASS /mg,0
#REFERENCE CRUCIBLE MASS /mg,0
#DSC RANGE /µV,5000
#TG RANGE /mg,35000
#TAU-R,---
#CORR. CODE,020
#EXO,-1
#RANGE,50°C/3.0(K/min)/650°C
#SEGMENT,S2/3
#SEG. 2,50°C/3.0(K/min)/650°C
