#EXPORTTYPE,DATA ALL
#FILE,Polyester_batting_test_3K_3.ngb-ds3
#FORMAT,NETZSCH5
#FTYPE,ANSI
#IDENTITY,Polyester_Batting_3K
#DECIMAL,POINT
#SEPARATOR,SEMICOLON
#MTYPE,DSC
#INSTRUMENT,NETZSCH STA 449F3
#PROJECT,NIJ 2019
#DATE/TIME,08.03.2021 14
#CORR. FILE,Correction_3K (03-01).ngb-bs3
#TEMPCAL,29-01-2021 10
#SENSITIVITY,29-01-2021 10
#LABORATORY,UL FSRI
#OPERATOR,Mark
#REMARK,236.93 mg crucible mass  Sample prepared as powder
#SAMPLE,Polyester_Batting_3K
#SAMPLE MASS /mg,5.95
#MATERIAL,Polyester Batting
#REFERENCE,
#REFERENCE MASS /mg,0
#TYPE OF CRUCIBLE,"PtRh20 0.19 ml, with lid"
#SAMPLE CRUCIBLE MASS /mg,0
#REFERENCE CRUCIBLE MASS /mg,0
#DSC RANGE /µV,5000
#TG RANGE /mg,35000
#TAU-R,---
#CORR. CODE,020
#EXO,-1
#RANGE,50°C/3.0(K/min)/650°C
#SEGMENT,S2/3
#SEG. 2,50°C/3.0(K/min)/650°C
